player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
AndeKe00,Ken Anderson,QB,1971,22,11,QB,57,,27,,All 1971 Games
AndeKe00,Ken Anderson,QB,1972,23,13,QB,113,,15,77,All 1972 Games
AndeKe00,Ken Anderson,QB,1973,24,14,QB,150,41,5,28,All 1973 Games
AndeKe00,Ken Anderson,QB,1974,25,13,QB,199,113,1,5,All 1974 Games
AndeKe00,Ken Anderson,QB,1975,26,13,QB,216,123,1,5,All 1975 Games
AndeKe00,Ken Anderson,QB,1976,27,14,QB,159,38,8,34,All 1976 Games
AndeKe00,Ken Anderson,QB,1977,28,14,QB,128,17,9,53,All 1977 Games
AndeKe00,Ken Anderson,QB,1978,29,12,QB,99,,19,,All 1978 Games
AndeKe00,Ken Anderson,QB,1979,30,15,QB,172,,12,75,All 1979 Games
AndeKe00,Ken Anderson,QB,1980,31,13,QB,80,,30,,All 1980 Games
AndeKe00,Ken Anderson,QB,1981,32,16,QB,279,95,2,11,All 1981 Games
AndeKe00,Ken Anderson,QB,1982,33,9,QB,161,111,3,10,All 1982 Games
AndeKe00,Ken Anderson,QB,1983,34,13,QB,132,,23,,All 1983 Games
AndeKe00,Ken Anderson,QB,1984,35,11,QB,106,,23,,All 1984 Games
AndeKe00,Ken Anderson,QB,1985,36,3,QB,14,,53,,All 1985 Games
AndeKe00,Ken Anderson,QB,1986,37,8,QB,7,,61,,All 1986 Games
