player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
BeckOd00,Odell Beckham Jr.,WR,2014,22,12,WR,204,82,5,15,All 2014 Games
BeckOd00,Odell Beckham Jr.,WR,2015,23,15,WR,223,96,5,8,All 2015 Games
BeckOd00,Odell Beckham Jr.,WR,2016,24,16,WR,196,69,4,15,All 2016 Games
BeckOd00,Odell Beckham Jr.,WR,2017,25,4,WR,49,,82,,All 2017 Games
BeckOd00,Odell Beckham Jr.,WR,2018,26,12,WR,153,37,16,42,All 2018 Games
BeckOd00,Odell Beckham Jr.,WR,2019,27,16,WR,127,,31,,All 2019 Games
BeckOd00,Odell Beckham Jr.,WR,2020,28,7,WR,64,,76,,All 2020 Games
BeckOd00,Odell Beckham Jr.,WR,2021,29,14,WR,85,,52,,All 2021 Games
BeckOd00,Odell Beckham Jr.,WR,2023,31,14,WR,73,,63,,All 2023 Games
BeckOd00,Odell Beckham Jr.,WR,2024,32,9,WR,6,,171,,All 2024 Games
