player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
BennMa00,Martellus Bennett,TE,2008,21,16,TE,52,,24,,All 2008 Games
BennMa00,Martellus Bennett,TE,2009,22,14,TE,16,,54,,All 2009 Games
BennMa00,Martellus Bennett,TE,2010,23,16,TE,26,,46,,All 2010 Games
BennMa00,Martellus Bennett,TE,2011,24,14,TE,14,,54,,All 2011 Games
BennMa00,Martellus Bennett,TE,2012,25,16,TE,93,,13,,All 2012 Games
BennMa00,Martellus Bennett,TE,2013,26,16,TE,104,11,10,64,All 2013 Games
BennMa00,Martellus Bennett,TE,2014,27,16,TE,132,41,5,37,All 2014 Games
BennMa00,Martellus Bennett,TE,2015,28,11,TE,62,,26,,All 2015 Games
BennMa00,Martellus Bennett,TE,2016,29,16,TE,113,26,7,39,All 2016 Games
BennMa00,Martellus Bennett,TE,2017,30,9,TE,29,,43,,All 2017 Games
