player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
BeueSt00,Steve Beuerlein,QB,1988,23,10,QB,83,,28,,All 1988 Games
BeueSt00,Steve Beuerlein,QB,1989,24,10,QB,99,,26,,All 1989 Games
BeueSt00,Steve Beuerlein,QB,1991,26,8,QB,51,,36,,All 1991 Games
BeueSt00,Steve Beuerlein,QB,1992,27,16,QB,3,,63,,All 1992 Games
BeueSt00,Steve Beuerlein,QB,1993,28,16,QB,161,,12,74,All 1993 Games
BeueSt00,Steve Beuerlein,QB,1994,29,9,QB,70,,32,,All 1994 Games
BeueSt00,Steve Beuerlein,QB,1995,30,7,QB,39,,37,,All 1995 Games
BeueSt00,Steve Beuerlein,QB,1996,31,8,QB,57,,37,,All 1996 Games
BeueSt00,Steve Beuerlein,QB,1997,32,7,QB,60,,34,,All 1997 Games
BeueSt00,Steve Beuerlein,QB,1998,33,12,QB,147,,19,,All 1998 Games
BeueSt00,Steve Beuerlein,QB,1999,34,16,QB,300,111,2,7,All 1999 Games
BeueSt00,Steve Beuerlein,QB,2000,35,16,QB,192,,12,75,All 2000 Games
BeueSt00,Steve Beuerlein,QB,2002,37,8,QB,56,,39,,All 2002 Games
BeueSt00,Steve Beuerlein,QB,2003,38,4,QB,15,,52,,All 2003 Games
