player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
BeueSt00,Steve Beuerlein,QB,1988,23,RAI,NFL,QB,10,8,4-4-0,105,238,44.1,1643,8,3.4,7,2.9,74,34.5,57,6.9,6.25,15.6,164.3,66.6,26,215,9.85,5.41,4.82,0,1,6,
BeueSt00,Steve Beuerlein,QB,1989,24,RAI,NFL,QB,10,7,4-3-0,108,217,49.8,1677,13,6.0,9,4.1,82,38.9,67,7.7,7.06,15.5,167.7,78.4,22,175,9.21,6.28,5.68,2,3,6,
BeueSt00,Steve Beuerlein,QB,1990,,Did not play - Contract dispute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeueSt00,Steve Beuerlein,QB,1991,26,DAL,NFL,QB,8,4,4-0-0,68,137,49.6,909,5,3.6,2,1.5,43,41.3,66,6.6,6.71,13.4,113.6,77.2,6,49,4.20,6.01,6.08,2,2,3,
BeueSt00,Steve Beuerlein,QB,1992,27,DAL,NFL,QB,16,0,,12,18,66.7,152,0,0.0,1,5.6,7,61.1,27,8.4,5.94,12.7,9.5,69.7,0,0,0.00,8.44,5.94,0,0,1,
BeueSt00,Steve Beuerlein,QB,1993,28,PHO,NFL,QB,16,14,6-8-0,258,418,61.7,3164,18,4.3,17,4.1,149,48.1,65,7.6,6.60,12.3,197.8,82.5,29,206,6.49,6.62,5.71,1,1,11,
BeueSt00,Steve Beuerlein,QB,1994,29,ARI,NFL,QB,9,7,3-4-0,130,255,51.0,1545,5,2.0,9,3.5,82,38.5,63,6.1,4.86,11.9,171.7,61.6,20,129,7.27,5.15,4.04,2,2,3,
BeueSt00,Steve Beuerlein,QB,1995,30,JAX,NFL,QB,7,6,1-5-0,71,142,50.0,952,4,2.8,7,4.9,47,38.4,71,6.7,5.05,13.4,136.0,60.5,17,103,10.69,5.34,3.86,0,0,3,
BeueSt00,Steve Beuerlein,QB,1996,31,CAR,NFL,QB,8,4,3-1-0,69,123,56.1,879,8,6.5,2,1.6,44,42.6,40,7.1,7.72,12.7,109.9,93.5,18,136,12.77,5.27,5.77,1,1,3,
BeueSt00,Steve Beuerlein,QB,1997,32,CAR,NFL,QB,7,3,1-2-0,89,153,58.2,1032,6,3.9,3,2.0,52,41.8,52,6.7,6.65,11.6,147.4,83.6,17,111,10.00,5.42,5.33,1,1,4,
BeueSt00,Steve Beuerlein,QB,1998,33,CAR,NFL,QB,12,12,4-8-0,216,343,63.0,2613,17,5.0,12,3.5,124,45.0,68,7.6,7.03,12.1,217.8,88.2,44,251,11.37,6.10,5.59,1,1,9,
BeueSt00,Steve Beuerlein,QB,1999,34,CAR,NFL,QB,16,16,8-8-0,343,571,60.1,4436,36,6.3,15,2.6,208,45.6,88,7.8,7.85,12.9,277.3,94.6,50,280,8.05,6.69,6.76,1,1,19,PB
BeueSt00,Steve Beuerlein,QB,2000,35,CAR,NFL,QB,16,16,7-9-0,324,533,60.8,3730,19,3.6,18,3.4,198,46.6,54,7.0,6.19,11.5,233.1,79.7,62,331,10.42,5.71,4.99,2,2,12,
BeueSt00,Steve Beuerlein,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeueSt00,Steve Beuerlein,QB,2002,37,DEN,NFL,QB,8,3,1-2-0,68,117,58.1,925,6,5.1,5,4.3,43,41.9,52,7.9,7.01,13.6,115.6,82.7,12,78,9.30,6.57,5.75,0,0,3,
BeueSt00,Steve Beuerlein,QB,2003,38,DEN,NFL,QB,4,2,1-1-0,33,63,52.4,389,2,3.2,5,7.9,18,34.7,38,6.2,3.24,11.8,97.3,49.0,9,60,12.50,4.57,2.00,0,1,2,
