player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
BladBr00,Brian Blades,WR,1988,23,SEA,NFL,WR,16,7,77,40,682,17.1,8,30,46.8,55,2.5,42.6,51.9,8.9,5,24,0,2,60.0,12,4.8,1.5,0.3,45,15.7,706,8,1,8,
BladBr00,Brian Blades,WR,1989,24,SEA,NFL,WR,16,14,134,77,1063,13.8,5,57,53.7,60,4.8,66.4,57.5,7.9,1,3,0,0,0.0,3,3.0,0.2,0.1,78,13.7,1066,5,3,9,PB
BladBr00,Brian Blades,WR,1990,25,SEA,NFL,WR,16,16,90,49,525,10.7,3,36,46.7,24,3.1,32.8,54.4,5.8,3,19,0,1,66.7,12,6.3,1.2,0.2,52,10.5,544,3,0,5,
BladBr00,Brian Blades,WR,1991,26,SEA,NFL,WR,16,16,119,70,1003,14.3,2,50,52.9,52,4.4,62.7,58.8,8.4,2,17,0,1,100.0,11,8.5,1.1,0.1,72,14.2,1020,2,1,9,
BladBr00,Brian Blades,WR,1992,27,SEA,NFL,WR,6,5,33,19,256,13.5,1,11,51.5,37,3.2,42.7,57.6,7.8,1,5,0,0,100.0,5,5.0,0.8,0.2,20,13.1,261,1,1,1,
BladBr00,Brian Blades,WR,1993,28,SEA,NFL,WR,16,14,144,80,945,11.8,3,47,47.9,41,5.0,59.1,55.6,6.6,5,52,0,2,80.0,26,10.4,3.3,0.3,85,11.7,997,3,1,9,
BladBr00,Brian Blades,WR,1994,29,SEA,NFL,WR,16,16,138,81,1086,13.4,4,61,50.7,45,5.1,67.9,58.7,7.9,2,32,0,1,50.0,40,16.0,2.0,0.1,83,13.5,1118,4,1,11,
BladBr00,Brian Blades,WR,1995,30,SEA,NFL,WR,16,16,133,77,1001,13.0,4,49,51.1,49,4.8,62.6,57.9,7.5,2,4,0,0,50.0,4,2.0,0.3,0.1,79,12.7,1005,4,0,10,
BladBr00,Brian Blades,WR,1996,31,SEA,NFL,WR,11,9,71,43,556,12.9,2,27,52.1,80,3.9,50.5,60.6,7.8,0,0,0,0,,,,0.0,0.0,43,12.9,556,2,1,5,
BladBr00,Brian Blades,WR,1997,32,SEA,NFL,WR,11,3,55,30,319,10.6,2,20,49.1,27,2.7,29.0,54.5,5.8,0,0,0,0,,,,0.0,0.0,30,10.6,319,2,1,3,
BladBr00,Brian Blades,WR,1998,33,SEA,NFL,WR,16,6,28,15,184,12.3,0,8,42.9,47,0.9,11.5,53.6,6.6,0,0,0,0,,,,0.0,0.0,15,12.3,184,0,1,2,
