player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
BledDr00,Drew Bledsoe,QB,1993,21,13,QB,130,,16,78,All 1993 Games
BledDr00,Drew Bledsoe,QB,1994,22,16,QB,222,46,4,29,All 1994 Games
BledDr00,Drew Bledsoe,QB,1995,23,15,QB,152,,21,,All 1995 Games
BledDr00,Drew Bledsoe,QB,1996,24,16,QB,248,92,6,14,All 1996 Games
BledDr00,Drew Bledsoe,QB,1997,25,16,QB,234,49,6,32,All 1997 Games
BledDr00,Drew Bledsoe,QB,1998,26,14,QB,196,,12,73,All 1998 Games
BledDr00,Drew Bledsoe,QB,1999,27,16,QB,200,11,8,61,All 1999 Games
BledDr00,Drew Bledsoe,QB,2000,28,16,QB,193,2,11,72,All 2000 Games
BledDr00,Drew Bledsoe,QB,2001,29,2,QB,22,,43,,All 2001 Games
BledDr00,Drew Bledsoe,QB,2002,30,16,QB,251,29,9,46,All 2002 Games
BledDr00,Drew Bledsoe,QB,2003,31,16,QB,127,,24,,All 2003 Games
BledDr00,Drew Bledsoe,QB,2004,32,16,QB,159,,21,,All 2004 Games
BledDr00,Drew Bledsoe,QB,2005,33,16,QB,207,11,11,62,All 2005 Games
BledDr00,Drew Bledsoe,QB,2006,34,6,QB,71,,35,,All 2006 Games
