player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
BreeDr00,Drew Brees,QB,2004,25,SDG,NFL,QB,1,1,0-1-0,31,42,73.8,319,2,4.8,1,2.4,11,47.7,44,7.6,7.48,10.3,319.0,101.2,2,11,4.55,7.00,6.89,0,0,
BreeDr00,Drew Brees,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BreeDr00,Drew Brees,QB,2006,27,NOR,NFL,QB,2,2,1-1-0,47,81,58.0,597,3,3.7,1,1.2,23,44.8,88,7.4,7.56,12.7,298.5,88.3,6,51,6.90,6.28,6.45,0,0,
BreeDr00,Drew Brees,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BreeDr00,Drew Brees,QB,2009,30,NOR,NFL,QB,3,3,3-0-0,72,102,70.6,732,8,7.8,0,0.0,39,55.8,44,7.2,8.75,10.2,244.0,117.0,2,15,1.92,6.89,8.43,1,2,SB MVP
BreeDr00,Drew Brees,QB,2010,31,NOR,NFL,QB,1,1,0-1-0,39,60,65.0,404,2,3.3,0,0.0,23,52.5,40,6.7,7.40,10.4,404.0,95.4,1,7,1.64,6.51,7.16,0,0,
BreeDr00,Drew Brees,QB,2011,32,NOR,NFL,QB,2,2,1-1-0,73,106,68.9,928,7,6.6,2,1.9,44,58.6,66,8.8,9.23,12.7,464.0,110.1,5,34,4.50,8.05,8.50,0,0,
BreeDr00,Drew Brees,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BreeDr00,Drew Brees,QB,2013,34,NOR,NFL,QB,2,2,1-1-0,44,73,60.3,559,2,2.7,2,2.7,26,44.7,52,7.7,6.97,12.7,279.5,81.9,3,9,3.95,7.24,6.58,1,1,
BreeDr00,Drew Brees,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BreeDr00,Drew Brees,QB,2017,38,NOR,NFL,QB,2,2,1-1-0,48,73,65.8,670,5,6.8,3,4.1,35,60.5,80,9.2,8.70,14.0,335.0,100.8,3,23,3.95,8.51,8.05,0,0,
BreeDr00,Drew Brees,QB,2018,39,NOR,NFL,QB,2,2,1-1-0,54,78,69.2,550,4,5.1,2,2.6,26,48.8,43,7.1,6.92,10.2,275.0,95.6,4,25,4.88,6.40,6.28,0,0,
BreeDr00,Drew Brees,QB,2019,40,NOR,NFL,QB,1,1,0-1-0,26,33,78.8,208,1,3.0,1,3.0,11,52.8,20,6.3,5.55,8.0,208.0,90.4,3,31,8.33,4.92,4.22,0,0,
BreeDr00,Drew Brees,QB,2020,41,NOR,NFL,QB,2,2,1-1-0,47,73,64.4,399,3,4.1,3,4.1,20,52.1,38,5.5,4.44,8.5,199.5,75.1,0,0,0.00,5.47,4.44,0,0,
