player_id,player_name,position,year_id,age,team,pos,uniform_number,g,gs,offense,off_pct,defense,def_pct,special_teams,st_pct
BrisJa00,Jacoby Brissett,QB,2016,24,NWE,QB,7,3,2,156,79%,0,0%,0,0%
BrisJa00,Jacoby Brissett,QB,2017,25,IND,QB,7,16,15,989,96%,0,0%,0,0%
BrisJa00,Jacoby Brissett,QB,2018,26,IND,QB,7,4,0,18,7%,0,0%,0,0%
BrisJa00,Jacoby Brissett,QB,2019,27,IND,QB,7,15,15,947,94%,0,0%,0,0%
BrisJa00,Jacoby Brissett,QB,2020,28,IND,QB,7,11,0,47,6%,0,0%,0,0%
BrisJa00,Jacoby Brissett,QB,2021,29,MIA,QB,14,11,5,376,52%,0,0%,0,0%
BrisJa00,Jacoby Brissett,QB,2022,30,CLE,QB,7,16,11,787,71%,0,0%,0,0%
BrisJa00,Jacoby Brissett,QB,2023,31,WAS,QB,12,3,0,46,26%,0,0%,0,0%
BrisJa00,Jacoby Brissett,QB,2024,32,NWE,QB,7,8,5,351,70%,0,0%,0,0%
BrisJa00,Jacoby Brissett,QB,2025,33,ARI,QB,7,5,3,220,65%,0,0%,0,0%
