player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
BryaCu00,Cullen Bryant,RB,1973,22,13,RB,6,,115,,All 1973 Games
BryaCu00,Cullen Bryant,RB,1974,23,14,RB,10,,120,,All 1974 Games
BryaCu00,Cullen Bryant,RB,1975,24,14,RB,78,,49,,All 1975 Games
BryaCu00,Cullen Bryant,RB,1976,25,14,RB,25,,101,,All 1976 Games
BryaCu00,Cullen Bryant,RB,1977,26,14,RB,6,,136,,All 1977 Games
BryaCu00,Cullen Bryant,RB,1978,27,16,RB,115,,29,,All 1978 Games
BryaCu00,Cullen Bryant,RB,1979,28,16,RB,113,,27,,All 1979 Games
BryaCu00,Cullen Bryant,RB,1980,29,16,RB,154,36,14,30,All 1980 Games
BryaCu00,Cullen Bryant,RB,1981,30,13,RB,65,,60,,All 1981 Games
BryaCu00,Cullen Bryant,RB,1982,31,1,RB,,,151,,All 1982 Games
BryaCu00,Cullen Bryant,RB,1983,32,10,RB,10,,108,,All 1983 Games
BryaCu00,Cullen Bryant,RB,1984,33,9,RB,8,,126,,All 1984 Games
BryaCu00,Cullen Bryant,RB,1987,36,3,RB,,,271,,All 1987 Games
