player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
BurkRe00,Rex Burkhead,RB,2013,23,1,RB,,,163,,All 2013 Games
BurkRe00,Rex Burkhead,RB,2014,24,9,RB,14,,113,,All 2014 Games
BurkRe00,Rex Burkhead,RB,2015,25,16,RB,14,,113,,All 2015 Games
BurkRe00,Rex Burkhead,RB,2016,26,16,RB,59,,59,,All 2016 Games
BurkRe00,Rex Burkhead,RB,2017,27,10,RB,100,,38,,All 2017 Games
BurkRe00,Rex Burkhead,RB,2018,28,8,RB,36,,78,,All 2018 Games
BurkRe00,Rex Burkhead,RB,2019,29,13,RB,74,,49,,All 2019 Games
BurkRe00,Rex Burkhead,RB,2020,30,10,RB,83,,48,,All 2020 Games
BurkRe00,Rex Burkhead,RB,2021,31,16,RB,79,,55,,All 2021 Games
BurkRe00,Rex Burkhead,RB,2022,32,16,RB,40,,70,,All 2022 Games
