player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
CarrDa00,David Carr,QB,2002,23,16,QB,146,,24,,All 2002 Games
CarrDa00,David Carr,QB,2003,24,12,QB,118,,26,,All 2003 Games
CarrDa00,David Carr,QB,2004,25,16,QB,201,,14,76,All 2004 Games
CarrDa00,David Carr,QB,2005,26,16,QB,160,,19,,All 2005 Games
CarrDa00,David Carr,QB,2006,27,16,QB,152,,20,,All 2006 Games
CarrDa00,David Carr,QB,2007,28,6,QB,33,,51,,All 2007 Games
CarrDa00,David Carr,QB,2008,29,3,QB,14,,47,,All 2008 Games
CarrDa00,David Carr,QB,2009,30,6,QB,22,,48,,All 2009 Games
CarrDa00,David Carr,QB,2010,31,1,QB,1,,74,,All 2010 Games
CarrDa00,David Carr,QB,2012,33,2,QB,,,65,,All 2012 Games
