player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
CartCr00,Cris Carter,WR,1987,22,PHI,NFL,WR,9,0,11,5,84,16.8,2,5,45.5,25,0.6,9.3,45.5,7.6,0,0,0,0,,,,0.0,0.0,5,16.8,84,2,0,1,
CartCr00,Cris Carter,WR,1988,23,PHI,NFL,WR,16,16,86,39,761,19.5,6,32,41.9,80,2.4,47.6,45.3,8.8,1,1,0,0,0.0,1,1.0,0.1,0.1,40,19.1,762,6,0,7,
CartCr00,Cris Carter,WR,1989,24,PHI,NFL,WR,16,15,88,45,605,13.4,11,30,46.6,42,2.8,37.8,51.1,6.9,2,16,0,1,100.0,11,8.0,1.0,0.1,47,13.2,621,11,1,6,
CartCr00,Cris Carter,WR,1990,25,MIN,NFL,WR,16,5,56,27,413,15.3,3,14,42.9,78,1.7,25.8,48.2,7.4,2,6,0,0,50.0,8,3.0,0.4,0.1,29,14.4,419,3,0,4,
CartCr00,Cris Carter,WR,1991,26,MIN,NFL,WR,16,16,112,72,962,13.4,5,44,50.0,50,4.5,60.1,64.3,8.6,0,0,0,0,,,,0.0,0.0,72,13.4,962,5,1,11,
CartCr00,Cris Carter,WR,1992,27,MIN,NFL,WR,12,12,92,53,681,12.8,6,34,44.6,44,4.4,56.8,57.6,7.4,5,15,0,2,60.0,6,3.0,1.3,0.4,58,12.0,696,6,1,7,
CartCr00,Cris Carter,WR,1993,28,MIN,NFL,WR,16,16,143,86,1071,12.5,9,61,50.3,58,5.4,66.9,60.1,7.5,0,0,0,0,,,,0.0,0.0,86,12.5,1071,9,0,9,PB
CartCr00,Cris Carter,WR,1994,29,MIN,NFL,WR,16,16,188,122,1256,10.3,7,63,51.1,65,7.6,78.5,64.9,6.7,0,0,0,0,,,,0.0,0.0,122,10.3,1256,7,4,9,"PB,AP-1,AP OPoY-4"
CartCr00,Cris Carter,WR,1995,30,MIN,NFL,WR,16,16,197,122,1371,11.2,17,80,52.8,60,7.6,85.7,61.9,7.0,1,0,0,0,0.0,,0.0,0.0,0.1,123,11.1,1371,17,0,12,"PB,AP-2"
CartCr00,Cris Carter,WR,1996,31,MIN,NFL,WR,16,16,167,96,1163,12.1,10,57,51.5,43,6.0,72.7,57.5,7.0,0,0,0,0,,,,0.0,0.0,96,12.1,1163,10,1,9,PB
CartCr00,Cris Carter,WR,1997,32,MIN,NFL,WR,16,16,158,89,1069,12.0,13,54,48.7,43,5.6,66.8,56.3,6.8,0,0,0,0,,,,0.0,0.0,89,12.0,1069,13,3,10,PB
CartCr00,Cris Carter,WR,1998,33,MIN,NFL,WR,16,16,128,78,1011,13.0,12,57,54.7,54,4.9,63.2,60.9,7.9,1,-1,0,0,0.0,-1,-1.0,-0.1,0.1,79,12.8,1010,12,0,14,PB
CartCr00,Cris Carter,WR,1999,34,MIN,NFL,WR,16,16,137,90,1241,13.8,13,66,58.4,68,5.6,77.6,65.7,9.1,0,0,0,0,,,,0.0,0.0,90,13.8,1241,13,0,12,"PB,AP-1"
CartCr00,Cris Carter,WR,2000,35,MIN,NFL,WR,16,16,160,96,1274,13.3,9,72,54.4,53,6.0,79.6,60.0,8.0,0,0,0,0,,,,0.0,0.0,96,13.3,1274,9,3,15,PB
CartCr00,Cris Carter,WR,2001,36,MIN,NFL,WR,16,16,130,73,871,11.9,6,45,46.9,52,4.6,54.4,56.2,6.7,1,4,0,0,0.0,4,4.0,0.3,0.1,74,11.8,875,6,2,8,
CartCr00,Cris Carter,WR,2002,37,MIA,NFL,WR,5,1,17,8,66,8.3,1,5,41.2,15,1.6,13.2,47.1,3.9,0,0,0,0,,,,0.0,0.0,8,8.3,66,1,1,1,
