player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
ChadJe00,Jeff Chadwick,WR,1983,23,16,WR,86,,33,,All 1983 Games
ChadJe00,Jeff Chadwick,WR,1984,24,16,WR,73,,49,,All 1984 Games
ChadJe00,Jeff Chadwick,WR,1985,25,7,WR,66,,55,,All 1985 Games
ChadJe00,Jeff Chadwick,WR,1986,26,15,WR,129,28,18,50,All 1986 Games
ChadJe00,Jeff Chadwick,WR,1987,27,8,WR,41,,73,,All 1987 Games
ChadJe00,Jeff Chadwick,WR,1988,28,10,WR,48,,68,,All 1988 Games
ChadJe00,Jeff Chadwick,WR,1989,29,12,WR,10,,125,,All 1989 Games
ChadJe00,Jeff Chadwick,WR,1990,30,16,WR,71,,54,,All 1990 Games
ChadJe00,Jeff Chadwick,WR,1991,31,12,WR,44,,73,,All 1991 Games
ChadJe00,Jeff Chadwick,WR,1992,32,14,WR,53,,67,,All 1992 Games
