player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,pass_yds_per_att_idx,pass_net_yds_per_att_idx,pass_adj_yds_per_att_idx,pass_adj_net_yds_per_att_idx,pass_cmp_pct_idx,pass_td_pct_idx,pass_int_pct_idx,pass_sacked_pct_idx,pass_rating_idx,awards
ChanCh00,Chris Chandler,QB,1988,23,IND,NFL,QB,15,13,99,99,90,90,101,92,83,100,90,
ChanCh00,Chris Chandler,QB,1989,24,IND,NFL,QB,3,3,93,105,92,99,77,81,100,123,84,
ChanCh00,Chris Chandler,QB,1990,25,TAM,NFL,QB,7,3,68,53,49,44,78,68,49,48,50,
ChanCh00,Chris Chandler,QB,1991,26,2TM,NFL,QB,9,5,69,67,61,61,77,92,57,84,65,
ChanCh00,Chris Chandler,QB,1991,26,TAM,NFL,QB,6,3,66,68,53,57,78,99,39,91,60,
ChanCh00,Chris Chandler,QB,1991,26,PHO,NFL,QB,3,2,76,65,77,70,75,78,94,69,74,
ChanCh00,Chris Chandler,QB,1992,27,PHO,NFL,QB,15,13,101,101,100,100,105,100,98,103,101,
ChanCh00,Chris Chandler,QB,1993,28,PHO,NFL,QB,4,2,57,69,76,83,78,89,122,120,84,
ChanCh00,Chris Chandler,QB,1994,29,RAM,NFL,QB,12,6,120,124,127,129,110,102,131,116,121,
ChanCh00,Chris Chandler,QB,1995,30,HOU,NFL,QB,13,13,104,103,108,107,117,111,106,104,114,
ChanCh00,Chris Chandler,QB,1996,31,HOU,NFL,QB,12,12,96,95,99,98,101,114,95,96,103,
ChanCh00,Chris Chandler,QB,1997,32,ATL,NFL,QB,14,14,122,111,125,118,109,119,117,81,122,PB
ChanCh00,Chris Chandler,QB,1998,33,ATL,NFL,QB,14,14,152,134,139,129,106,137,94,71,128,PB
ChanCh00,Chris Chandler,QB,1999,34,ATL,NFL,QB,12,12,114,106,110,105,97,112,96,86,107,
ChanCh00,Chris Chandler,QB,2000,35,ATL,NFL,QB,14,13,100,91,96,90,100,89,95,76,94,
ChanCh00,Chris Chandler,QB,2001,36,ATL,NFL,QB,14,14,120,109,112,105,107,106,90,79,107,
ChanCh00,Chris Chandler,QB,2002,37,CHI,NFL,QB,9,7,92,76,95,84,117,79,112,59,101,
ChanCh00,Chris Chandler,QB,2003,38,CHI,NFL,QB,8,6,75,76,74,74,88,68,92,98,75,
ChanCh00,Chris Chandler,QB,2004,39,STL,NFL,QB,5,2,111,99,52,50,90,90,-67,75,63,
