player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
ChanCh00,Chris Chandler,QB,1988,23,15,QB,97,,25,,All 1988 Games
ChanCh00,Chris Chandler,QB,1989,24,3,QB,35,,43,,All 1989 Games
ChanCh00,Chris Chandler,QB,1990,25,7,QB,19,,46,,All 1990 Games
ChanCh00,Chris Chandler,QB,1991,26,9,QB,39,,37,,All 1991 Games
ChanCh00,Chris Chandler,QB,1992,27,15,QB,155,,13,76,All 1992 Games
ChanCh00,Chris Chandler,QB,1993,28,4,QB,25,,49,,All 1993 Games
ChanCh00,Chris Chandler,QB,1994,29,12,QB,86,,27,,All 1994 Games
ChanCh00,Chris Chandler,QB,1995,30,13,QB,144,,23,,All 1995 Games
ChanCh00,Chris Chandler,QB,1996,31,12,QB,121,,24,,All 1996 Games
ChanCh00,Chris Chandler,QB,1997,32,14,QB,181,,14,77,All 1997 Games
ChanCh00,Chris Chandler,QB,1998,33,14,QB,224,29,6,41,All 1998 Games
ChanCh00,Chris Chandler,QB,1999,34,12,QB,143,,19,,All 1999 Games
ChanCh00,Chris Chandler,QB,2000,35,14,QB,109,,29,,All 2000 Games
ChanCh00,Chris Chandler,QB,2001,36,14,QB,158,,21,,All 2001 Games
ChanCh00,Chris Chandler,QB,2002,37,9,QB,46,,44,,All 2002 Games
ChanCh00,Chris Chandler,QB,2003,38,8,QB,46,,43,,All 2003 Games
ChanCh00,Chris Chandler,QB,2004,39,5,QB,9,,56,,All 2004 Games
