player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
ChanWe00,Wes Chandler,WR,1978,22,NOR,NFL,WR,16,5,55,35,472,13.5,2,22,58.2,58,2.2,29.5,63.6,8.6,2,10,0,1,50.0,10,5.0,0.6,0.1,37,13.0,482,2,1,5,
ChanWe00,Wes Chandler,WR,1979,23,NOR,NFL,WR,16,16,116,65,1069,16.4,6,42,51.7,85,4.1,66.8,56.0,9.2,0,0,0,0,,,,0.0,0.0,65,16.4,1069,6,0,13,PB
ChanWe00,Wes Chandler,WR,1980,24,NOR,NFL,WR,16,16,107,65,975,15.0,6,42,50.5,50,4.1,60.9,60.7,9.1,1,9,0,1,100.0,9,9.0,0.6,0.1,66,14.9,984,6,2,8,
ChanWe00,Wes Chandler,WR,1981,25,2TM,NFL,WR,16,15,126,69,1142,16.6,6,50,51.6,51,4.3,71.4,54.8,9.1,5,-1,0,0,60.0,9,-0.2,-0.1,0.3,74,15.4,1141,6,1,11,
ChanWe00,Wes Chandler,WR,1981,25,NOR,NFL,WR,4,4,34,17,285,16.8,1,12,47.1,39,4.3,71.3,50.0,8.4,0,0,0,0,,,,0.0,0.0,17,16.8,285,1,0,2,
ChanWe00,Wes Chandler,WR,1981,25,SDG,NFL,WR,12,11,92,52,857,16.5,5,38,53.3,51,4.3,71.4,56.5,9.3,5,-1,0,0,60.0,9,-0.2,-0.1,0.4,57,15.0,856,5,1,9,
ChanWe00,Wes Chandler,WR,1982,26,SDG,NFL,WR,8,8,83,49,1032,21.1,9,44,56.6,66,6.1,129.0,59.0,12.4,5,32,0,3,60.0,21,6.4,4.0,0.6,54,19.7,1064,9,0,22,"PB,AP-1,AP OPoY-4"
ChanWe00,Wes Chandler,WR,1983,27,SDG,NFL,WR,16,14,120,58,845,14.6,5,40,41.7,44,3.6,52.8,48.3,7.0,2,25,0,1,50.0,23,12.5,1.6,0.1,60,14.5,870,5,3,7,PB
ChanWe00,Wes Chandler,WR,1984,28,SDG,NFL,WR,15,15,101,52,708,13.6,6,35,42.6,63,3.5,47.2,51.5,7.0,0,0,0,0,,,,0.0,0.0,52,13.6,708,6,0,6,
ChanWe00,Wes Chandler,WR,1985,29,SDG,NFL,WR,15,13,126,67,1199,17.9,10,60,51.6,75,4.5,79.9,53.2,9.5,1,9,0,0,100.0,9,9.0,0.6,0.1,68,17.8,1208,10,1,11,PB
ChanWe00,Wes Chandler,WR,1986,30,SDG,NFL,WR,16,14,123,56,874,15.6,4,44,39.8,40,3.5,54.6,45.5,7.1,0,0,0,0,,,,0.0,0.0,56,15.6,874,4,2,8,
ChanWe00,Wes Chandler,WR,1987,31,SDG,NFL,WR,12,11,86,39,617,15.8,2,30,41.9,27,3.3,51.4,45.3,7.2,0,0,0,0,,,,0.0,0.0,39,15.8,617,2,1,4,
ChanWe00,Wes Chandler,WR,1988,32,SFO,NFL,WR,4,4,15,4,33,8.3,0,1,26.7,9,1.0,8.3,26.7,2.2,0,0,0,0,,,,0.0,0.0,4,8.3,33,0,0,0,
