player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
CobbRa00,Randall Cobb,WR,2011,21,15,WR,50,,86,,All 2011 Games
CobbRa00,Randall Cobb,WR,2012,22,15,WR,161,42,17,43,All 2012 Games
CobbRa00,Randall Cobb,WR,2013,23,6,WR,75,,62,,All 2013 Games
CobbRa00,Randall Cobb,WR,2014,24,16,WR,202,81,6,17,All 2014 Games
CobbRa00,Randall Cobb,WR,2015,25,16,WR,130,2,28,73,All 2015 Games
CobbRa00,Randall Cobb,WR,2016,26,13,WR,88,,57,,All 2016 Games
CobbRa00,Randall Cobb,WR,2017,27,15,WR,93,,42,,All 2017 Games
CobbRa00,Randall Cobb,WR,2018,28,9,WR,48,,93,,All 2018 Games
CobbRa00,Randall Cobb,WR,2019,29,15,WR,100,,47,,All 2019 Games
CobbRa00,Randall Cobb,WR,2020,30,10,WR,62,,79,,All 2020 Games
CobbRa00,Randall Cobb,WR,2021,31,12,WR,66,,68,,All 2021 Games
CobbRa00,Randall Cobb,WR,2022,32,13,WR,48,,90,,All 2022 Games
CobbRa00,Randall Cobb,WR,2023,33,11,WR,12,,155,,All 2023 Games
