player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
CollKe00,Kerry Collins,QB,1995,23,CAR,NFL,QB,15,13,7-6-0,214,433,49.4,2717,14,3.2,19,4.4,130,38.9,89,6.3,4.95,12.7,181.1,61.9,,24,150,5.25,5.62,4.36,1,3,5,
CollKe00,Kerry Collins,QB,1996,24,CAR,NFL,QB,13,12,9-3-0,204,364,56.0,2454,14,3.8,9,2.5,116,44.5,55,6.7,6.40,12.0,188.8,79.4,,18,114,4.71,6.13,5.80,1,1,10,PB
CollKe00,Kerry Collins,QB,1997,25,CAR,NFL,QB,13,13,6-7-0,200,381,52.5,2124,11,2.9,21,5.5,118,40.7,59,5.6,3.67,10.6,163.4,55.7,,27,200,6.62,4.72,2.94,0,0,3,
CollKe00,Kerry Collins,QB,1998,26,2TM,NFL,QB,11,11,2-9-0,170,353,48.2,2213,12,3.4,15,4.2,104,34.9,89,6.3,5.04,13.0,201.2,62.0,,31,191,8.07,5.27,4.13,0,0,4,
CollKe00,Kerry Collins,QB,1998,26,CAR,NFL,QB,4,4,0-4-0,76,162,46.9,1011,8,4.9,5,3.1,47,33.1,72,6.2,5.84,13.3,252.8,70.8,,10,51,5.81,5.58,5.20,0,0,3,
CollKe00,Kerry Collins,QB,1998,26,NOR,NFL,QB,7,7,2-5-0,94,191,49.2,1202,4,2.1,10,5.2,57,36.3,89,6.3,4.36,12.8,171.7,54.5,,21,140,9.91,5.01,3.26,0,0,1,
CollKe00,Kerry Collins,QB,1999,27,NYG,NFL,QB,10,7,2-5-0,190,331,57.4,2318,8,2.4,11,3.3,116,44.7,80,7.0,5.99,12.2,231.8,73.3,,16,112,4.61,6.36,5.39,2,2,6,
CollKe00,Kerry Collins,QB,2000,28,NYG,NFL,QB,16,16,12-4-0,311,529,58.8,3610,22,4.2,13,2.5,195,44.5,59,6.8,6.55,11.6,225.6,83.1,,28,243,5.03,6.04,5.78,3,3,13,AP CPoY-2
CollKe00,Kerry Collins,QB,2001,29,NYG,NFL,QB,16,16,7-9-0,327,568,57.6,3764,19,3.3,16,2.8,189,43.5,76,6.6,6.03,11.5,235.3,77.1,,36,206,5.96,5.89,5.33,3,4,10,
CollKe00,Kerry Collins,QB,2002,30,NYG,NFL,QB,16,16,10-6-0,335,545,61.5,4073,19,3.5,14,2.6,193,47.6,82,7.5,7.01,12.2,254.6,85.4,,24,152,4.22,6.89,6.45,5,5,13,
CollKe00,Kerry Collins,QB,2003,31,NYG,NFL,QB,13,13,4-9-0,284,500,56.8,3110,13,2.6,16,3.2,158,44.7,77,6.2,5.30,11.0,239.2,70.7,,28,164,5.30,5.58,4.71,1,3,7,
CollKe00,Kerry Collins,QB,2004,32,OAK,NFL,QB,14,13,3-10-0,289,513,56.3,3495,21,4.1,20,3.9,155,41.8,63,6.8,5.88,12.1,249.6,74.8,,25,144,4.65,6.23,5.34,1,2,10,
CollKe00,Kerry Collins,QB,2005,33,OAK,NFL,QB,15,15,4-11-0,302,565,53.5,3759,20,3.5,12,2.1,180,41.6,79,6.7,6.41,12.4,250.6,77.3,,39,261,6.46,5.79,5.56,1,1,11,
CollKe00,Kerry Collins,QB,2006,34,TEN,NFL,QB,4,3,0-3-0,42,90,46.7,549,1,1.1,6,6.7,26,35.1,36,6.1,3.32,13.1,137.3,42.3,29.4,4,23,4.26,5.60,2.94,0,0,2,
CollKe00,Kerry Collins,QB,2007,35,TEN,NFL,QB,6,1,1-0-0,50,82,61.0,531,0,0.0,0,0.0,30,49.4,46,6.5,6.48,10.6,88.5,79.9,52.3,5,42,5.75,5.62,5.62,1,2,2,
CollKe00,Kerry Collins,QB,2008,36,TEN,NFL,QB,16,15,12-3-0,242,415,58.3,2676,12,2.9,7,1.7,132,44.4,56,6.4,6.27,11.1,167.3,80.2,57.4,8,60,1.89,6.18,6.01,1,3,8,"PB,AP CPoY-2"
CollKe00,Kerry Collins,QB,2009,37,TEN,NFL,QB,7,6,0-6-0,119,216,55.1,1225,6,2.8,8,3.7,63,41.4,69,5.7,4.56,10.3,175.0,65.5,37.6,6,37,2.70,5.35,4.27,0,0,1,
CollKe00,Kerry Collins,QB,2010,38,TEN,NFL,QB,10,7,2-5-0,160,278,57.6,1823,14,5.0,8,2.9,90,43.6,80,6.6,6.27,11.4,182.3,82.2,55.4,13,91,4.47,5.95,5.68,1,1,6,
CollKe00,Kerry Collins,QB,2011,39,IND,NFL,QB,3,3,0-3-0,48,98,49.0,481,2,2.0,1,1.0,29,37.9,36,4.9,4.86,10.0,160.3,65.9,16.8,5,40,4.85,4.28,4.23,0,0,1,
