player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
DrivDo00,Donald Driver,WR,2001,26,GNB,NFL,WR,2,0,2,2,26,13.0,0,2,100.0,14,1.0,13.0,100.0,13.0,2,25,0,1,100.0,16,12.5,12.5,1.0,4,12.8,51,0,0,
DrivDo00,Donald Driver,WR,2002,27,GNB,NFL,WR,1,1,4,3,64,21.3,1,3,75.0,25,3.0,64.0,75.0,16.0,0,0,0,0,,,,0.0,0.0,3,21.3,64,1,0,
DrivDo00,Donald Driver,WR,2003,28,GNB,NFL,WR,2,1,13,8,91,11.4,0,4,53.8,23,4.0,45.5,61.5,7.0,0,0,0,0,,,,0.0,0.0,8,11.4,91,0,0,
DrivDo00,Donald Driver,WR,2004,29,GNB,NFL,WR,1,1,9,7,78,11.1,0,5,77.8,16,7.0,78.0,77.8,8.7,0,0,0,0,,,,0.0,0.0,7,11.1,78,0,0,
DrivDo00,Donald Driver,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrivDo00,Donald Driver,WR,2007,32,GNB,NFL,WR,2,2,12,8,159,19.9,1,5,50.0,90,4.0,79.5,66.7,13.3,0,0,0,0,,,,0.0,0.0,8,19.9,159,1,0,
DrivDo00,Donald Driver,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrivDo00,Donald Driver,WR,2009,34,GNB,NFL,WR,1,1,6,4,43,10.8,0,3,50.0,28,4.0,43.0,66.7,7.2,0,0,0,0,,,,0.0,0.0,4,10.8,43,0,1,
DrivDo00,Donald Driver,WR,2010,35,GNB,NFL,WR,4,2,20,14,169,12.1,0,8,50.0,24,3.5,42.3,70.0,8.5,0,0,0,0,,,,0.0,0.0,14,12.1,169,0,0,
DrivDo00,Donald Driver,WR,2011,36,GNB,NFL,WR,1,1,3,3,45,15.0,1,3,100.0,16,3.0,45.0,100.0,15.0,0,0,0,0,,,,0.0,0.0,3,15.0,45,1,0,
DrivDo00,Donald Driver,WR,2012,37,GNB,NFL,WR,1,0,,0,0,,0,0,,,0.0,0.0,,,0,0,0,0,,,,0.0,0.0,0,,0,0,0,
