player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
EllaHe00,Henry Ellard,WR,1983,22,12,WR,32,,91,,All 1983 Games
EllaHe00,Henry Ellard,WR,1984,23,16,WR,106,1,27,72,All 1984 Games
EllaHe00,Henry Ellard,WR,1985,24,16,WR,113,5,26,62,All 1985 Games
EllaHe00,Henry Ellard,WR,1986,25,9,WR,64,,55,,All 1986 Games
EllaHe00,Henry Ellard,WR,1987,26,12,WR,95,7,24,63,All 1987 Games
EllaHe00,Henry Ellard,WR,1988,27,16,WR,199,91,1,6,All 1988 Games
EllaHe00,Henry Ellard,WR,1989,28,14,WR,187,83,5,16,All 1989 Games
EllaHe00,Henry Ellard,WR,1990,29,15,WR,152,43,6,24,All 1990 Games
EllaHe00,Henry Ellard,WR,1991,30,16,WR,122,20,19,48,All 1991 Games
EllaHe00,Henry Ellard,WR,1992,31,16,WR,91,,30,,All 1992 Games
EllaHe00,Henry Ellard,WR,1993,32,16,WR,108,4,26,68,All 1993 Games
EllaHe00,Henry Ellard,WR,1994,33,16,WR,173,63,8,21,All 1994 Games
EllaHe00,Henry Ellard,WR,1995,34,15,WR,129,11,25,63,All 1995 Games
EllaHe00,Henry Ellard,WR,1996,35,16,WR,113,,33,,All 1996 Games
EllaHe00,Henry Ellard,WR,1997,36,16,WR,73,,56,,All 1997 Games
EllaHe00,Henry Ellard,WR,1998,37,7,WR,12,,124,,All 1998 Games
