player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds,awards
EllaHe00,Henry Ellard,WR,1983,22,RAM,NFL,WR,12,0,16,217,1,72,13.6,15,314,0,44,20.9,806,
EllaHe00,Henry Ellard,WR,1984,23,RAM,NFL,WR,16,16,30,403,2,83,13.4,2,24,0,12,12.0,1044,"PB,AP-1"
EllaHe00,Henry Ellard,WR,1985,24,RAM,NFL,WR,16,16,37,501,1,80,13.5,0,0,0,0,,1320,
EllaHe00,Henry Ellard,WR,1986,25,RAM,NFL,WR,9,8,14,127,0,20,9.1,1,18,0,18,18.0,577,
EllaHe00,Henry Ellard,WR,1987,26,RAM,NFL,WR,12,12,15,107,0,29,7.1,1,8,0,8,8.0,918,
EllaHe00,Henry Ellard,WR,1988,27,RAM,NFL,WR,16,15,17,119,0,34,7.0,0,0,0,0,,1540,"PB,AP-1"
EllaHe00,Henry Ellard,WR,1989,28,RAM,NFL,WR,14,12,2,20,0,10,10.0,0,0,0,0,,1412,PB
EllaHe00,Henry Ellard,WR,1990,29,RAM,NFL,WR,15,15,2,15,0,8,7.5,0,0,0,0,,1330,
EllaHe00,Henry Ellard,WR,,,,,,,,,,,,,,,,,,,
EllaHe00,Henry Ellard,WR,1993,32,RAM,NFL,WR,16,16,2,18,0,13,9.0,0,0,0,0,,981,
