player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
ErtzZa00,Zach Ertz,TE,2013,23,16,TE,71,,19,,All 2013 Games
ErtzZa00,Zach Ertz,TE,2014,24,16,TE,86,,14,,All 2014 Games
ErtzZa00,Zach Ertz,TE,2015,25,15,TE,95,8,10,66,All 2015 Games
ErtzZa00,Zach Ertz,TE,2016,26,14,TE,106,18,8,50,All 2016 Games
ErtzZa00,Zach Ertz,TE,2017,27,14,TE,128,47,3,21,All 2017 Games
ErtzZa00,Zach Ertz,TE,2018,28,16,TE,164,81,3,17,All 2018 Games
ErtzZa00,Zach Ertz,TE,2019,29,15,TE,128,51,5,22,All 2019 Games
ErtzZa00,Zach Ertz,TE,2020,30,11,TE,42,,35,,All 2020 Games
ErtzZa00,Zach Ertz,TE,2021,31,17,TE,107,14,11,64,All 2021 Games
ErtzZa00,Zach Ertz,TE,2022,32,10,TE,69,,19,,All 2022 Games
ErtzZa00,Zach Ertz,TE,2023,33,7,TE,25,,52,,All 2023 Games
ErtzZa00,Zach Ertz,TE,2024,34,17,TE,111,26,8,45,All 2024 Games
ErtzZa00,Zach Ertz,TE,2025,35,9,TE,55,,12,,All 2025 Games
