player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
EvanVi00,Vince Evans,QB,1977,22,CHI,NFL,QB,7,0,,0,0,,0,0,,0,,,,,,,,0.0,,0,0,,,,0,0,0,
EvanVi00,Vince Evans,QB,1978,23,CHI,NFL,QB,3,0,,1,3,33.3,38,0,0.0,1,33.3,1,20.0,38,12.7,-2.33,38.0,12.7,42.4,2,25,40.00,2.60,-6.40,0,0,0,
EvanVi00,Vince Evans,QB,1979,24,CHI,NFL,QB,4,3,0-3-0,32,63,50.8,508,4,6.3,5,7.9,15,31.0,65,8.1,5.76,15.9,127.0,66.1,8,75,11.27,6.10,4.06,0,0,2,
EvanVi00,Vince Evans,QB,1980,25,CHI,NFL,QB,13,10,5-5-0,148,278,53.2,2039,11,4.0,16,5.8,88,37.5,89,7.3,5.54,13.8,156.8,66.2,26,205,8.55,6.03,4.39,1,0,10,
EvanVi00,Vince Evans,QB,1981,26,CHI,NFL,QB,16,16,6-10-0,195,436,44.7,2354,11,2.5,20,4.6,114,33.3,85,5.4,3.84,12.1,147.1,51.1,23,173,5.01,4.75,3.27,0,2,4,
EvanVi00,Vince Evans,QB,1982,27,CHI,NFL,QB,4,0,,12,28,42.9,125,0,0.0,4,14.3,6,33.3,19,4.5,-1.96,10.4,31.3,16.8,2,17,6.67,3.60,-2.40,0,0,1,
EvanVi00,Vince Evans,QB,1983,28,CHI,NFL,QB,9,3,1-2-0,76,145,52.4,1108,5,3.4,7,4.8,41,39.7,72,7.6,6.16,14.6,123.1,69.0,11,92,7.05,6.51,5.13,0,1,4,
EvanVi00,Vince Evans,QB,1984,,Did not play - Chicago Blitz (United States Football League),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EvanVi00,Vince Evans,QB,1985,,Did not play - Denver Gold (United States Football League),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EvanVi00,Vince Evans,QB,1987,32,RAI,NFL,QB,3,3,1-2-0,39,83,47.0,630,5,6.0,4,4.8,24,34.4,47,7.6,6.63,16.2,210.0,72.9,7,38,7.78,6.58,5.69,0,0,3,
EvanVi00,Vince Evans,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EvanVi00,Vince Evans,QB,1989,34,RAI,NFL,QB,1,0,,2,2,100.0,50,0,0.0,0,0.0,1,25.0,40,25.0,25.00,25.0,50.0,118.7,2,19,50.00,7.75,7.75,0,0,0,
EvanVi00,Vince Evans,QB,1990,35,RAI,NFL,QB,5,0,,1,1,100.0,36,0,0.0,0,0.0,1,100.0,36,36.0,36.00,36.0,7.2,118.7,0,0,0.00,36.00,36.00,0,0,0,
EvanVi00,Vince Evans,QB,1991,36,RAI,NFL,QB,4,0,,6,14,42.9,127,1,7.1,2,14.3,3,31.3,80,9.1,4.07,21.2,31.8,59.8,2,20,12.50,6.69,2.31,0,0,1,
EvanVi00,Vince Evans,QB,1992,37,RAI,NFL,QB,5,0,,29,53,54.7,372,4,7.5,3,5.7,18,42.9,50,7.0,5.98,12.8,74.4,78.5,3,26,5.36,6.18,5.20,1,1,2,
EvanVi00,Vince Evans,QB,1993,38,RAI,NFL,QB,8,1,0-1-0,45,76,59.2,640,3,3.9,4,5.3,26,37.5,68,8.4,6.84,14.2,80.0,77.7,12,87,13.64,6.28,4.92,1,1,2,
EvanVi00,Vince Evans,QB,1994,39,RAI,NFL,QB,9,0,,18,33,54.5,222,2,6.1,0,0.0,9,28.6,65,6.7,7.94,12.3,24.7,95.8,9,57,21.43,3.93,4.88,0,0,1,
EvanVi00,Vince Evans,QB,1995,40,OAK,NFL,QB,9,3,1-2-0,100,175,57.1,1236,6,3.4,8,4.6,56,43.0,73,7.1,5.69,12.4,137.3,71.5,11,70,5.91,6.27,4.98,0,0,4,
