player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
FaulMa00,Marshall Faulk,RB,1994,21,16,RB,242,115,4,6,All 1994 Games
FaulMa00,Marshall Faulk,RB,1995,22,16,RB,231,99,6,15,All 1995 Games
FaulMa00,Marshall Faulk,RB,1996,23,13,RB,140,13,18,57,All 1996 Games
FaulMa00,Marshall Faulk,RB,1997,24,16,RB,195,64,8,19,All 1997 Games
FaulMa00,Marshall Faulk,RB,1998,25,16,RB,279,155,3,4,All 1998 Games
FaulMa00,Marshall Faulk,RB,1999,26,16,RB,313,187,1,1,All 1999 Games
FaulMa00,Marshall Faulk,RB,2000,27,14,RB,379,228,1,1,All 2000 Games
FaulMa00,Marshall Faulk,RB,2001,28,14,RB,337,204,1,1,All 2001 Games
FaulMa00,Marshall Faulk,RB,2002,29,14,RB,203,53,15,29,All 2002 Games
FaulMa00,Marshall Faulk,RB,2003,30,11,RB,177,35,15,37,All 2003 Games
FaulMa00,Marshall Faulk,RB,2004,31,14,RB,134,,28,,All 2004 Games
FaulMa00,Marshall Faulk,RB,2005,32,16,RB,64,,50,,All 2005 Games
