player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
FlutDo00,Doug Flutie,QB,1986,24,CHI,NFL,QB,4,1,1-0-0,23,46,50.0,361,3,6.5,2,4.3,14,36.5,58,7.8,7.20,15.7,90.3,80.1,6,30,11.54,6.37,5.79,1,1,1,
FlutDo00,Doug Flutie,QB,1987,25,2TM,NFL,QB,2,1,1-0-0,15,25,60.0,199,1,4.0,0,0.0,9,42.3,30,8.0,8.76,13.3,99.5,98.6,1,3,3.85,7.54,8.31,0,0,1,
FlutDo00,Doug Flutie,QB,1987,25,CHI,NFL,QB,1,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0,0,,,,0,0,0,
FlutDo00,Doug Flutie,QB,1987,25,NWE,NFL,QB,1,1,1-0-0,15,25,60.0,199,1,4.0,0,0.0,9,42.3,30,8.0,8.76,13.3,199.0,98.6,1,3,3.85,7.54,8.31,0,0,1,
FlutDo00,Doug Flutie,QB,1988,26,NWE,NFL,QB,11,9,6-3-0,92,179,51.4,1150,8,4.5,10,5.6,54,40.0,80,6.4,4.80,12.5,104.5,63.3,11,65,5.79,5.71,4.18,1,1,3,
FlutDo00,Doug Flutie,QB,1989,27,NWE,NFL,QB,5,3,1-2-0,36,91,39.6,493,2,2.2,4,4.4,22,32.0,36,5.4,3.88,13.7,98.6,46.6,6,52,6.19,4.55,3.10,0,0,2,
FlutDo00,Doug Flutie,QB,1990,,Did not play - BC Lions (Canadian Football League),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlutDo00,Doug Flutie,QB,1991,,Did not play - BC Lions (Canadian Football League),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlutDo00,Doug Flutie,QB,1992,,Did not play - Calgary Stampeders (Canadian Football League),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlutDo00,Doug Flutie,QB,1993,,Did not play - Calgary Stampeders (Canadian Football League),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlutDo00,Doug Flutie,QB,1994,,Did not play - Calgary Stampeders (Canadian Football League),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlutDo00,Doug Flutie,QB,1995,,Did not play - Calgary Stampeders (Canadian Football League),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlutDo00,Doug Flutie,QB,1996,,Did not play - Toronto Argonauts (Canadian Football League),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlutDo00,Doug Flutie,QB,1997,,Did not play - Toronto Argonauts (Canadian Football League),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlutDo00,Doug Flutie,QB,1998,36,BUF,NFL,QB,13,10,7-3-0,202,354,57.1,2711,20,5.6,11,3.1,136,47.3,84,7.7,7.39,13.4,208.5,87.4,12,78,3.28,7.19,6.93,2,2,14,"PB,AP CPoY-1"
FlutDo00,Doug Flutie,QB,1999,37,BUF,NFL,QB,15,15,10-5-0,264,478,55.2,3171,19,4.0,16,3.3,157,43.5,54,6.6,5.92,12.0,211.4,75.1,26,176,5.16,5.94,5.27,2,2,14,
FlutDo00,Doug Flutie,QB,2000,38,BUF,NFL,QB,11,5,4-1-0,132,231,57.1,1700,8,3.5,3,1.3,70,44.8,52,7.4,7.47,12.9,154.5,86.5,10,68,4.15,6.77,6.88,1,3,7,
FlutDo00,Doug Flutie,QB,2001,39,SDG,NFL,QB,16,16,5-11-0,294,521,56.4,3464,15,2.9,18,3.5,168,42.9,78,6.6,5.67,11.8,216.5,72.0,25,168,4.58,6.04,5.10,1,1,11,
FlutDo00,Doug Flutie,QB,2002,40,SDG,NFL,QB,1,0,,3,11,27.3,64,0,0.0,0,0.0,2,27.3,47,5.8,5.82,21.3,64.0,51.3,0,0,0.00,5.82,5.82,0,0,0,
FlutDo00,Doug Flutie,QB,2003,41,SDG,NFL,QB,7,5,2-3-0,91,167,54.5,1097,9,5.4,4,2.4,50,40.0,73,6.6,6.57,12.1,156.7,82.8,8,27,4.57,6.11,6.11,0,0,5,
FlutDo00,Doug Flutie,QB,2004,42,SDG,NFL,QB,2,1,1-0-0,20,38,52.6,276,1,2.6,0,0.0,15,46.2,29,7.3,7.79,13.8,138.0,85.0,1,7,2.56,6.90,7.41,0,0,2,
FlutDo00,Doug Flutie,QB,2005,43,NWE,NFL,QB,5,0,,5,10,50.0,29,0,0.0,0,0.0,3,27.3,13,2.9,2.90,5.8,5.8,56.2,1,13,9.09,1.45,1.45,0,0,0,
