player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
FoleNi00,Nick Foles,QB,2012,23,PHI,NFL,QB,7,6,1-5-0,161,265,60.8,1699,6,2.3,5,1.9,78,40.4,46,6.4,6.02,10.6,242.7,79.1,51.2,20,131,7.02,5.50,5.13,1,1,4,
FoleNi00,Nick Foles,QB,2013,24,PHI,NFL,QB,13,10,8-2-0,203,317,64.0,2891,27,8.5,2,0.6,130,47.0,63,9.1,10.54,14.2,222.4,119.2,69.5,28,173,8.12,7.88,9.18,1,1,11,PB
FoleNi00,Nick Foles,QB,2014,25,PHI,NFL,QB,8,8,6-2-0,186,311,59.8,2163,13,4.2,10,3.2,101,44.1,68,7.0,6.34,11.6,270.4,81.4,63.6,9,74,2.81,6.53,5.93,2,3,5,
FoleNi00,Nick Foles,QB,2015,26,STL,NFL,QB,11,11,4-7-0,190,337,56.4,2052,7,2.1,10,3.0,85,33.0,68,6.1,5.17,10.8,186.5,69.0,28.9,14,98,3.99,5.57,4.68,1,1,3,
FoleNi00,Nick Foles,QB,2016,27,KAN,NFL,QB,3,1,1-0-0,36,55,65.5,410,3,5.5,0,0.0,15,33.9,49,7.5,8.55,11.4,136.7,105.9,29.9,4,34,6.78,6.37,7.39,0,0,1,
FoleNi00,Nick Foles,QB,2017,28,PHI,NFL,QB,7,3,2-1-0,57,101,56.4,537,5,5.0,2,2.0,29,38.7,35,5.3,5.42,9.4,76.7,79.5,31.1,5,44,4.72,4.65,4.75,1,2,2,
FoleNi00,Nick Foles,QB,2018,29,PHI,NFL,QB,5,5,4-1-0,141,195,72.3,1413,7,3.6,4,2.1,59,42.6,83,7.2,7.04,10.0,282.6,96.0,65.4,9,47,4.41,6.70,6.50,2,2,4,
FoleNi00,Nick Foles,QB,2019,30,JAX,NFL,QB,4,4,0-4-0,77,117,65.8,736,3,2.6,2,1.7,31,40.0,39,6.3,6.03,9.6,184.0,84.6,35.5,8,60,6.40,5.41,5.17,0,0,2,
FoleNi00,Nick Foles,QB,2020,31,CHI,NFL,QB,9,7,2-5-0,202,312,64.7,1852,10,3.2,8,2.6,93,43.9,50,5.9,5.42,9.2,205.8,80.8,36.0,18,145,5.45,5.17,4.69,2,2,3,
FoleNi00,Nick Foles,QB,2021,32,CHI,NFL,QB,1,1,1-0-0,24,35,68.6,250,1,2.9,0,0.0,14,46.2,30,7.1,7.71,10.4,250.0,98.5,51.6,4,21,10.26,5.87,6.38,1,1,1,
FoleNi00,Nick Foles,QB,2022,33,IND,NFL,QB,3,2,0-2-0,25,42,59.5,224,0,0.0,4,9.5,9,30.0,49,5.3,1.05,9.0,74.7,34.3,8.0,8,48,16.00,3.52,-0.08,0,0,1,
