player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
FoutDa00,Dan Fouts,QB,1973,22,SDG,NFL,QB,10,6,7,32,0,,,16,4.6,3.2,0.7,,0,0,,0,,,0.0,0.0,,,7,4.6,32,0,2,
FoutDa00,Dan Fouts,QB,1974,23,SDG,NFL,QB,11,11,19,63,1,,,16,3.3,5.7,1.7,,0,0,,0,,,0.0,0.0,,,19,3.3,63,1,4,
FoutDa00,Dan Fouts,QB,1975,24,SDG,NFL,QB,10,9,23,170,2,,,32,7.4,17.0,2.3,,0,0,,0,,,0.0,0.0,,,23,7.4,170,2,3,
FoutDa00,Dan Fouts,QB,1976,25,SDG,NFL,QB,14,13,18,65,0,,,13,3.6,4.6,1.3,,0,0,,0,,,0.0,0.0,,,18,3.6,65,0,8,
FoutDa00,Dan Fouts,QB,1977,26,SDG,NFL,QB,4,4,6,13,0,,,11,2.2,3.3,1.5,,0,0,,0,,,0.0,0.0,,,6,2.2,13,0,4,
FoutDa00,Dan Fouts,QB,1978,27,SDG,NFL,QB,15,14,20,43,2,6,30.0,22,2.2,2.9,1.3,0,0,0,,0,0,,0.0,0.0,,,20,2.2,43,2,10,
FoutDa00,Dan Fouts,QB,1979,28,SDG,NFL,QB,16,16,26,49,2,6,26.9,26,1.9,3.1,1.6,0,0,0,,0,0,,0.0,0.0,,,26,1.9,49,2,13,"PB,AP-1,AP MVP-2,AP OPoY-2"
FoutDa00,Dan Fouts,QB,1980,29,SDG,NFL,QB,16,16,23,15,2,7,34.8,9,0.7,0.9,1.4,0,0,0,,0,0,,0.0,0.0,,,23,0.7,15,2,11,"PB,AP-2,AP MVP-5,AP OPoY-3"
FoutDa00,Dan Fouts,QB,1981,30,SDG,NFL,QB,16,16,22,56,0,4,40.9,13,2.5,3.5,1.4,0,0,0,,0,0,,0.0,0.0,,,22,2.5,56,0,9,"PB,AP MVP-6,AP OPoY-5"
FoutDa00,Dan Fouts,QB,1982,31,SDG,NFL,QB,9,9,9,8,1,1,33.3,9,0.9,0.9,1.0,0,0,0,,0,0,,0.0,0.0,,,9,0.9,8,1,2,"PB,AP-1,AP MVP-2,AP OPoY-1"
FoutDa00,Dan Fouts,QB,1983,32,SDG,NFL,QB,10,10,12,-5,1,2,16.7,3,-0.4,-0.5,1.2,0,0,0,,0,0,,0.0,0.0,,,12,-0.4,-5,1,5,PB
FoutDa00,Dan Fouts,QB,1984,33,SDG,NFL,QB,13,13,12,-29,0,0,0.0,3,-2.4,-2.2,0.9,1,1,0,0.0,0,0,0.0,0.1,0.0,100.0,0.0,13,-2.2,-29,0,8,
FoutDa00,Dan Fouts,QB,1985,34,SDG,NFL,QB,14,12,11,-1,0,0,0.0,7,-0.1,-0.1,0.8,0,0,0,,0,0,,0.0,0.0,,,11,-0.1,-1,0,13,"PB,AP-2"
FoutDa00,Dan Fouts,QB,1986,35,SDG,NFL,QB,12,12,4,-3,0,0,0.0,,-0.8,-0.3,0.3,0,0,0,,0,0,,0.0,0.0,,,4,-0.8,-3,0,4,
FoutDa00,Dan Fouts,QB,1987,36,SDG,NFL,QB,11,10,12,0,2,2,16.7,,0.0,0.0,1.1,0,0,0,,0,0,,0.0,0.0,,,12,0.0,0,2,10,
