player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
GateAn00,Antonio Gates,TE,2003,23,15,TE,49,,20,,All 2003 Games
GateAn00,Antonio Gates,TE,2004,24,15,TE,174,105,1,8,All 2004 Games
GateAn00,Antonio Gates,TE,2005,25,15,TE,170,93,1,8,All 2005 Games
GateAn00,Antonio Gates,TE,2006,26,16,TE,146,68,1,16,All 2006 Games
GateAn00,Antonio Gates,TE,2007,27,16,TE,152,74,2,16,All 2007 Games
GateAn00,Antonio Gates,TE,2008,28,16,TE,116,36,4,40,All 2008 Games
GateAn00,Antonio Gates,TE,2009,29,16,TE,164,65,3,21,All 2009 Games
GateAn00,Antonio Gates,TE,2010,30,10,TE,138,42,2,34,All 2010 Games
GateAn00,Antonio Gates,TE,2011,31,13,TE,120,24,7,50,All 2011 Games
GateAn00,Antonio Gates,TE,2012,32,15,TE,96,,12,,All 2012 Games
GateAn00,Antonio Gates,TE,2013,33,16,TE,107,14,9,60,All 2013 Games
GateAn00,Antonio Gates,TE,2014,34,16,TE,154,64,2,23,All 2014 Games
GateAn00,Antonio Gates,TE,2015,35,11,TE,93,6,11,68,All 2015 Games
GateAn00,Antonio Gates,TE,2016,36,14,TE,95,8,10,61,All 2016 Games
GateAn00,Antonio Gates,TE,2017,37,16,TE,50,,29,,All 2017 Games
GateAn00,Antonio Gates,TE,2018,38,16,TE,47,,27,,All 2018 Games
