player_id,player_name,position,year,team,level,pos,voters
GonzTo00,Tony Gonzalez,TE,1999,1st Tm,All-Conf.,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,1999,1st Tm,,TE,Associated Press
GonzTo00,Tony Gonzalez,TE,1999,1st Tm,,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,1999,1st Tm,,,Sporting News
GonzTo00,Tony Gonzalez,TE,2000,1st Tm,All-Conf.,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,2000,1st Tm,,TE,Associated Press
GonzTo00,Tony Gonzalez,TE,2000,1st Tm,,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,2000,1st Tm,,,Sporting News
GonzTo00,Tony Gonzalez,TE,2001,1st Tm,All-Conf.,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,2001,1st Tm,,TE,Associated Press
GonzTo00,Tony Gonzalez,TE,2001,1st Tm,,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,2001,1st Tm,,,Sporting News
GonzTo00,Tony Gonzalez,TE,2002,1st Tm,All-Conf.,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,2002,2nd Tm,,TE,Associated Press
GonzTo00,Tony Gonzalez,TE,2002,1st Tm,,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,2002,1st Tm,,,Sporting News
GonzTo00,Tony Gonzalez,TE,2003,1st Tm,All-Conf.,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,2003,1st Tm,,TE,Associated Press
GonzTo00,Tony Gonzalez,TE,2003,1st Tm,,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,2003,1st Tm,,,Sporting News
GonzTo00,Tony Gonzalez,TE,2004,2nd Tm,,TE,Associated Press
GonzTo00,Tony Gonzalez,TE,2006,2nd Tm,,TE,Associated Press
GonzTo00,Tony Gonzalez,TE,2007,2nd Tm,,TE,Associated Press
GonzTo00,Tony Gonzalez,TE,2008,1st Tm,All-Conf.,TE,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,2008,1st Tm,,TE,Associated Press
GonzTo00,Tony Gonzalez,TE,2008,1st Tm,,,Pro Football Writers
GonzTo00,Tony Gonzalez,TE,2008,1st Tm,,,Sporting News
GonzTo00,Tony Gonzalez,TE,2012,1st Tm,,TE,Associated Press
