player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
GordJo02,Josh Gordon,WR,2012,21,CLE,NFL,WR,16,13,96,50,805,16.1,5,40,44.8,71,3.1,50.3,52.1,8.4,0,0,0,0,,,,0.0,0.0,50,16.1,805,5,1,6,
GordJo02,Josh Gordon,WR,2013,22,CLE,NFL,WR,14,14,159,87,1646,18.9,9,64,49.1,95,6.2,117.6,54.7,10.4,5,88,0,4,80.0,34,17.6,6.3,0.4,92,18.8,1734,9,0,10,"PB,AP-1,AP CPoY-6"
GordJo02,Josh Gordon,WR,2014,23,CLE,NFL,WR,5,5,47,24,303,12.6,0,16,40.4,32,4.8,60.6,51.1,6.4,0,0,0,0,,,,0.0,0.0,24,12.6,303,0,0,2,
GordJo02,Josh Gordon,WR,2015,,Did not play - Violation of league substance abuse policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GordJo02,Josh Gordon,WR,2016,,Did not play - Violation of league substance abuse policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GordJo02,Josh Gordon,WR,2017,26,CLE,NFL,WR,5,5,42,18,335,18.6,1,12,40.5,54,3.6,67.0,42.9,8.0,0,0,0,0,,,,0.0,0.0,18,18.6,335,1,0,2,
GordJo02,Josh Gordon,WR,2018,27,2TM,NFL,WR,12,12,71,41,737,18.0,4,30,52.1,55,3.4,61.4,57.7,10.4,0,0,0,0,,,,0.0,0.0,41,18.0,737,4,0,7,
GordJo02,Josh Gordon,WR,2018,27,CLE,NFL,WR,1,1,3,1,17,17.0,1,1,33.3,17,1.0,17.0,33.3,5.7,0,0,0,0,,,,0.0,0.0,1,17.0,17,1,0,0,
GordJo02,Josh Gordon,WR,2018,27,NWE,NFL,WR,11,11,68,40,720,18.0,3,29,52.9,55,3.6,65.5,58.8,10.6,0,0,0,0,,,,0.0,0.0,40,18.0,720,3,0,7,
GordJo02,Josh Gordon,WR,2019,28,2TM,NFL,WR,11,7,47,27,426,15.8,1,16,51.1,58,2.5,38.7,57.4,9.1,1,1,0,0,0.0,1,1.0,0.1,0.1,28,15.3,427,1,0,3,
GordJo02,Josh Gordon,WR,2019,28,NWE,NFL,WR,6,6,36,20,287,14.4,1,10,47.2,44,3.3,47.8,55.6,8.0,1,1,0,0,0.0,1,1.0,0.2,0.2,21,13.7,288,1,0,2,
GordJo02,Josh Gordon,WR,2019,28,SEA,NFL,WR,5,1,11,7,139,19.9,0,6,63.6,58,1.4,27.8,63.6,12.6,0,0,0,0,,,,0.0,0.0,7,19.9,139,0,0,1,
GordJo02,Josh Gordon,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GordJo02,Josh Gordon,WR,2021,30,KAN,NFL,WR,12,7,14,5,32,6.4,1,3,28.6,11,0.4,2.7,35.7,2.3,0,0,0,0,,,,0.0,0.0,5,6.4,32,1,0,0,
GordJo02,Josh Gordon,WR,2022,31,TEN,NFL,WR,2,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,,,0.0,0.0,0,,0,0,0,0,
