player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
GreeAh00,Ahman Green,RB,1998,21,SEA,NFL,RB,16,0,35,209,1,8,40.0,64,6.0,13.1,2.2,5,3,2,0.7,0,0,0.0,3,0.2,0.1,60.0,0.4,38,5.6,211,1,1,1,
GreeAh00,Ahman Green,RB,1999,22,SEA,NFL,RB,14,0,26,120,0,12,53.8,21,4.6,8.6,1.9,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,26,4.6,120,0,2,1,
GreeAh00,Ahman Green,RB,2000,23,GNB,NFL,RB,16,11,263,1175,10,62,47.1,39,4.5,73.4,16.4,99,73,559,7.7,3,28,45.5,31,4.6,34.9,73.7,5.6,336,5.2,1734,13,6,14,AP CPoY-12
GreeAh00,Ahman Green,RB,2001,24,GNB,NFL,RB,16,16,304,1387,9,57,42.8,83,4.6,86.7,19.0,82,62,594,9.6,2,24,52.4,42,3.9,37.1,75.6,7.2,366,5.4,1981,11,5,18,"PB,AP-2"
GreeAh00,Ahman Green,RB,2002,25,GNB,NFL,RB,14,14,286,1240,7,57,45.1,43,4.3,88.6,20.4,74,57,393,6.9,2,19,48.6,23,4.1,28.1,77.0,5.3,343,4.8,1633,9,4,13,PB
GreeAh00,Ahman Green,RB,2003,26,GNB,NFL,RB,16,16,355,1883,15,100,49.3,98,5.3,117.7,22.2,60,50,367,7.3,5,21,53.3,27,3.1,22.9,83.3,6.1,405,5.6,2250,20,7,20,PB
GreeAh00,Ahman Green,RB,2004,27,GNB,NFL,RB,15,15,259,1163,7,58,49.8,90,4.5,77.5,17.3,51,40,275,6.9,1,18,45.1,48,2.7,18.3,78.4,5.4,299,4.8,1438,8,7,12,PB
GreeAh00,Ahman Green,RB,2005,28,GNB,NFL,RB,5,5,77,255,0,12,39.0,13,3.3,51.0,15.4,27,19,147,7.7,0,7,44.4,20,3.8,29.4,70.4,5.4,96,4.2,402,0,1,3,
GreeAh00,Ahman Green,RB,2006,29,GNB,NFL,RB,14,14,266,1059,5,55,40.6,70,4.0,75.6,19.0,63,46,373,8.1,1,14,42.9,20,3.3,26.6,73.0,5.9,312,4.6,1432,6,4,8,
GreeAh00,Ahman Green,RB,2007,30,HOU,NFL,RB,6,5,70,260,2,17,40.0,18,3.7,43.3,11.7,18,14,123,8.8,0,2,22.2,53,2.3,20.5,77.8,6.8,84,4.6,383,2,0,3,
GreeAh00,Ahman Green,RB,2008,31,HOU,NFL,RB,8,1,74,294,3,23,55.4,14,4.0,36.8,9.3,14,11,32,2.9,0,0,21.4,8,1.4,4.0,78.6,2.3,85,3.8,326,3,0,2,
GreeAh00,Ahman Green,RB,2009,32,GNB,NFL,RB,8,0,41,160,1,8,39.0,26,3.9,20.0,5.1,5,3,18,6.0,0,2,40.0,12,0.4,2.3,60.0,3.6,44,4.0,178,1,0,1,
