player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
HarmRo00,Ronnie Harmon,RB,1986,22,BUF,NFL,RB,14,2,35,22,185,8.4,1,6,42.9,27,1.6,13.2,62.9,5.3,54,172,0,12,33.3,38,3.2,12.3,3.9,76,4.7,357,1,2,3,
HarmRo00,Ronnie Harmon,RB,1987,23,BUF,NFL,RB,12,10,95,56,477,8.5,2,22,37.9,42,4.7,39.8,58.9,5.0,116,485,2,25,48.3,21,4.2,40.4,9.7,172,5.6,962,4,2,7,
HarmRo00,Ronnie Harmon,RB,1988,24,BUF,NFL,RB,16,1,63,37,427,11.5,3,22,49.2,36,2.3,26.7,58.7,6.8,57,212,1,8,42.1,32,3.7,13.3,3.6,94,6.8,639,4,2,6,
HarmRo00,Ronnie Harmon,RB,1989,25,BUF,NFL,RB,15,2,48,29,363,12.5,4,17,54.2,42,1.9,24.2,60.4,7.6,17,99,0,7,58.8,24,5.8,6.6,1.1,46,10.0,462,4,2,4,
HarmRo00,Ronnie Harmon,RB,1990,26,SDG,NFL,RB,16,2,63,46,511,11.1,2,25,52.4,36,2.9,31.9,73.0,8.1,66,363,0,16,43.9,41,5.5,22.7,4.1,112,7.8,874,2,1,9,
HarmRo00,Ronnie Harmon,RB,1991,27,SDG,NFL,RB,16,0,80,59,555,9.4,1,28,47.5,36,3.7,34.7,73.8,6.9,89,544,1,19,51.7,33,6.1,34.0,5.6,148,7.4,1099,2,2,9,
HarmRo00,Ronnie Harmon,RB,1992,28,SDG,NFL,RB,16,2,103,79,914,11.6,1,35,57.3,55,4.9,57.1,76.7,8.9,55,235,3,17,50.9,33,4.3,14.7,3.4,134,8.6,1149,4,4,12,PB
HarmRo00,Ronnie Harmon,RB,1993,29,SDG,NFL,RB,16,1,103,73,671,9.2,2,31,48.5,37,4.6,41.9,70.9,6.5,46,216,0,15,56.5,19,4.7,13.5,2.9,119,7.5,887,2,0,9,
HarmRo00,Ronnie Harmon,RB,1994,30,SDG,NFL,RB,16,0,89,58,615,10.6,1,33,47.2,35,3.6,38.4,65.2,6.9,25,94,1,6,44.0,15,3.8,5.9,1.6,83,8.5,709,2,0,7,
HarmRo00,Ronnie Harmon,RB,1995,31,SDG,NFL,RB,16,1,89,63,673,10.7,5,33,47.2,44,3.9,42.1,70.8,7.6,51,187,1,11,39.2,48,3.7,11.7,3.2,114,7.5,860,6,1,7,
HarmRo00,Ronnie Harmon,RB,1996,32,HOU,NFL,RB,16,6,59,42,488,11.6,2,26,55.9,43,2.6,30.5,71.2,8.3,29,131,1,9,44.8,25,4.5,8.2,1.8,71,8.7,619,3,0,6,
HarmRo00,Ronnie Harmon,RB,1997,33,2TM,NFL,RB,12,0,22,18,197,10.9,0,11,59.1,27,1.5,16.4,81.8,9.0,10,36,0,3,40.0,14,3.6,3.0,0.8,28,8.3,233,0,0,2,
HarmRo00,Ronnie Harmon,RB,1997,33,TEN,NFL,RB,11,0,20,16,189,11.8,0,10,60.0,27,1.5,17.2,80.0,9.5,8,30,0,2,37.5,14,3.8,2.7,0.7,24,9.1,219,0,0,2,
HarmRo00,Ronnie Harmon,RB,1997,33,CHI,NFL,RB,1,0,2,2,8,4.0,0,1,50.0,6,2.0,8.0,100.0,4.0,2,6,0,1,50.0,4,3.0,6.0,2.0,4,3.5,14,0,0,0,
