player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
HarrFr00,Franco Harris,RB,1972,22,14,FB,183,68,6,13,All 1972 Games
HarrFr00,Franco Harris,RB,1973,23,12,FB,87,,34,,All 1973 Games
HarrFr00,Franco Harris,RB,1974,24,12,FB,148,54,10,22,All 1974 Games
HarrFr00,Franco Harris,RB,1975,25,14,FB,203,104,4,7,All 1975 Games
HarrFr00,Franco Harris,RB,1976,26,14,FB,204,96,5,9,All 1976 Games
HarrFr00,Franco Harris,RB,1977,27,14,FB,178,73,8,11,All 1977 Games
HarrFr00,Franco Harris,RB,1978,28,16,FB,167,28,11,38,All 1978 Games
HarrFr00,Franco Harris,RB,1979,29,15,FB,209,68,8,12,All 1979 Games
HarrFr00,Franco Harris,RB,1980,30,13,FB,128,9,22,64,All 1980 Games
HarrFr00,Franco Harris,RB,1981,31,16,FB,172,41,18,39,All 1981 Games
HarrFr00,Franco Harris,RB,1982,32,9,FB,96,33,15,42,All 1982 Games
HarrFr00,Franco Harris,RB,1983,33,16,FB,161,17,20,54,All 1983 Games
HarrFr00,Franco Harris,RB,1984,34,8,FB,17,,107,,All 1984 Games
