player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
HebeBo00,Bobby Hebert,QB,1985,25,6,QB,69,,32,,All 1985 Games
HebeBo00,Bobby Hebert,QB,1986,26,5,QB,10,,57,,All 1986 Games
HebeBo00,Bobby Hebert,QB,1987,27,12,QB,132,,14,76,All 1987 Games
HebeBo00,Bobby Hebert,QB,1988,28,16,QB,175,2,11,71,All 1988 Games
HebeBo00,Bobby Hebert,QB,1989,29,14,QB,144,,16,,All 1989 Games
HebeBo00,Bobby Hebert,QB,1991,31,9,QB,88,,29,,All 1991 Games
HebeBo00,Bobby Hebert,QB,1992,32,16,QB,182,20,9,49,All 1992 Games
HebeBo00,Bobby Hebert,QB,1993,33,14,QB,175,14,8,54,All 1993 Games
HebeBo00,Bobby Hebert,QB,1994,34,8,QB,29,,43,,All 1994 Games
HebeBo00,Bobby Hebert,QB,1995,35,4,QB,18,,47,,All 1995 Games
HebeBo00,Bobby Hebert,QB,1996,36,14,QB,170,14,10,54,All 1996 Games
