player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
HebeBo00,Bobby Hebert,QB,1985,25,NOR,NFL,QB,6,6,2-4-0,97,181,53.6,1208,5,2.8,4,2.2,55,39.4,76,6.7,6.23,12.5,201.3,74.6,17,150,8.59,5.34,4.94,0,1,4,
HebeBo00,Bobby Hebert,QB,1986,26,NOR,NFL,QB,5,3,1-2-0,41,79,51.9,498,2,2.5,8,10.1,20,35.7,84,6.3,2.25,12.1,99.6,40.5,5,34,5.95,5.52,1.71,0,0,2,
HebeBo00,Bobby Hebert,QB,1987,27,NOR,NFL,QB,12,12,10-2-0,164,294,55.8,2119,15,5.1,9,3.1,109,43.3,67,7.2,6.85,12.9,176.6,82.9,20,119,6.37,6.37,6.04,3,3,11,
HebeBo00,Bobby Hebert,QB,1988,28,NOR,NFL,QB,16,16,10-6-0,280,478,58.6,3156,20,4.2,15,3.1,173,46.8,40,6.6,6.03,11.3,197.3,79.3,24,171,4.78,5.95,5.40,1,2,11,
HebeBo00,Bobby Hebert,QB,1989,29,NOR,NFL,QB,14,13,6-7-0,222,353,62.9,2686,15,4.2,15,4.2,121,48.0,54,7.6,6.55,12.1,191.9,82.7,22,171,5.87,6.71,5.71,1,2,11,
HebeBo00,Bobby Hebert,QB,1990,,Did not play - Contract dispute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HebeBo00,Bobby Hebert,QB,1991,31,NOR,NFL,QB,9,9,8-1-0,149,248,60.1,1676,9,3.6,8,3.2,69,42.0,65,6.8,6.03,11.2,186.2,79.0,16,134,6.06,5.84,5.16,1,1,6,
HebeBo00,Bobby Hebert,QB,1992,32,NOR,NFL,QB,16,16,12-4-0,249,422,59.0,3287,19,4.5,16,3.8,155,48.5,72,7.8,6.98,13.2,205.4,82.9,15,119,3.43,7.25,6.47,2,4,13,
HebeBo00,Bobby Hebert,QB,1993,33,ATL,NFL,QB,14,12,4-8-0,263,430,61.2,2978,24,5.6,17,4.0,146,47.3,98,6.9,6.26,11.3,212.7,84.0,29,190,6.32,6.07,5.45,1,1,10,PB
HebeBo00,Bobby Hebert,QB,1994,34,ATL,NFL,QB,8,0,,52,103,50.5,610,2,1.9,6,5.8,34,42.5,40,5.9,3.69,11.7,76.3,51.0,3,17,2.83,5.59,3.42,1,1,2,
HebeBo00,Bobby Hebert,QB,1995,35,ATL,NFL,QB,4,0,,28,45,62.2,313,2,4.4,1,2.2,15,57.8,37,7.0,6.84,11.2,78.3,88.5,0,0,0.00,6.96,6.84,1,1,1,
HebeBo00,Bobby Hebert,QB,1996,36,ATL,NFL,QB,14,13,3-10-0,294,488,60.2,3152,22,4.5,25,5.1,168,45.6,57,6.5,5.06,10.7,225.1,72.9,27,150,5.24,5.83,4.50,0,0,8,
