player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
HillDr00,Drew Hill,WR,1979,23,16,WR,13,,93,,All 1979 Games
HillDr00,Drew Hill,WR,1980,24,16,WR,58,,54,,All 1980 Games
HillDr00,Drew Hill,WR,1981,25,16,WR,54,,59,,All 1981 Games
HillDr00,Drew Hill,WR,1982,26,9,WR,9,,96,,All 1982 Games
HillDr00,Drew Hill,WR,1984,28,16,WR,63,,55,,All 1984 Games
HillDr00,Drew Hill,WR,1985,29,16,WR,171,63,4,13,All 1985 Games
HillDr00,Drew Hill,WR,1986,30,16,WR,141,40,14,40,All 1986 Games
HillDr00,Drew Hill,WR,1987,31,12,WR,134,45,8,20,All 1987 Games
HillDr00,Drew Hill,WR,1988,32,16,WR,174,66,6,17,All 1988 Games
HillDr00,Drew Hill,WR,1989,33,14,WR,141,36,20,44,All 1989 Games
HillDr00,Drew Hill,WR,1990,34,16,WR,132,24,13,44,All 1990 Games
HillDr00,Drew Hill,WR,1991,35,16,WR,133,31,14,41,All 1991 Games
HillDr00,Drew Hill,WR,1992,36,16,WR,79,,47,,All 1992 Games
HillDr00,Drew Hill,WR,1993,37,16,WR,38,,77,,All 1993 Games
