player_id,player_name,position,year,team,level,pos,voters
HolmRo00,Rodney Holman,TE,1988,2nd Tm,All-Conf.,,UPI
HolmRo00,Rodney Holman,TE,1989,1st Tm,All-Conf.,,Pro Football Weekly
HolmRo00,Rodney Holman,TE,1989,1st Tm,All-Conf.,,UPI
HolmRo00,Rodney Holman,TE,1989,2nd Tm,,TE,Associated Press
HolmRo00,Rodney Holman,TE,1989,1st Tm,,,Newspaper Ent. Assoc.
HolmRo00,Rodney Holman,TE,1989,1st Tm,,,Pro Football Weekly
HolmRo00,Rodney Holman,TE,1990,1st Tm,All-Conf.,,Pro Football Weekly
HolmRo00,Rodney Holman,TE,1990,1st Tm,All-Conf.,,UPI
HolmRo00,Rodney Holman,TE,1990,2nd Tm,,TE,Associated Press
HolmRo00,Rodney Holman,TE,1990,2nd Tm,,,Newspaper Ent. Assoc.
