player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
HornJo00,Joe Horn,WR,1996,24,9,WR,4,,140,,All 1996 Games
HornJo00,Joe Horn,WR,1997,25,8,WR,7,,128,,All 1997 Games
HornJo00,Joe Horn,WR,1998,26,16,WR,22,,106,,All 1998 Games
HornJo00,Joe Horn,WR,1999,27,16,WR,96,,49,,All 1999 Games
HornJo00,Joe Horn,WR,2000,28,16,WR,183,72,9,26,All 2000 Games
HornJo00,Joe Horn,WR,2001,29,16,WR,181,52,7,25,All 2001 Games
HornJo00,Joe Horn,WR,2002,30,16,WR,175,56,8,25,All 2002 Games
HornJo00,Joe Horn,WR,2003,31,15,WR,159,55,15,30,All 2003 Games
HornJo00,Joe Horn,WR,2004,32,16,WR,208,81,2,13,All 2004 Games
HornJo00,Joe Horn,WR,2005,33,13,WR,69,,57,,All 2005 Games
HornJo00,Joe Horn,WR,2006,34,10,WR,94,,42,,All 2006 Games
HornJo00,Joe Horn,WR,2007,35,12,WR,30,,102,,All 2007 Games
