player_id,player_name,position,year,team,level,pos,voters
JackHa00,Harold Jackson,WR,1972,1st Tm,All-Conf.,,Associated Press
JackHa00,Harold Jackson,WR,1972,1st Tm,All-Conf.,,Sporting News
JackHa00,Harold Jackson,WR,1972,1st Tm,All-Conf.,,UPI
JackHa00,Harold Jackson,WR,1972,2nd Tm,,WR,Associated Press
JackHa00,Harold Jackson,WR,1972,2nd Tm,,,Pro Football Writers
JackHa00,Harold Jackson,WR,1972,2nd Tm,,,Newspaper Ent. Assoc.
JackHa00,Harold Jackson,WR,1973,1st Tm,All-Conf.,,Associated Press
JackHa00,Harold Jackson,WR,1973,1st Tm,All-Conf.,,Pro Football Weekly
JackHa00,Harold Jackson,WR,1973,1st Tm,All-Conf.,,Sporting News
JackHa00,Harold Jackson,WR,1973,1st Tm,All-Conf.,,UPI
JackHa00,Harold Jackson,WR,1973,1st Tm,,WR,Associated Press
JackHa00,Harold Jackson,WR,1973,1st Tm,,,Pro Football Writers
JackHa00,Harold Jackson,WR,1973,1st Tm,,,Newspaper Ent. Assoc.
JackHa00,Harold Jackson,WR,1973,1st Tm,,,Pro Football Weekly
JackHa00,Harold Jackson,WR,1976,2nd Tm,All-Conf.,,UPI
JackHa00,Harold Jackson,WR,1977,1st Tm,All-Conf.,,Sporting News
JackHa00,Harold Jackson,WR,1977,1st Tm,All-Conf.,,UPI
JackHa00,Harold Jackson,WR,1977,2nd Tm,,,Newspaper Ent. Assoc.
