player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
JackVi00,Vincent Jackson,WR,2005,22,SDG,NFL,WR,8,0,8,3,59,19.7,0,3,37.5,21,0.4,7.4,37.5,7.4,0,0,0,0,,,,0.0,0.0,3,19.7,59,0,0,1,
JackVi00,Vincent Jackson,WR,2006,23,SDG,NFL,WR,16,7,56,27,453,16.8,6,18,39.3,55,1.7,28.3,48.2,8.1,3,16,0,0,66.7,8,5.3,1.0,0.2,30,15.6,469,6,0,7,
JackVi00,Vincent Jackson,WR,2007,24,SDG,NFL,WR,16,16,80,41,623,15.2,3,28,46.3,45,2.6,38.9,51.3,7.8,0,0,0,0,,,,0.0,0.0,41,15.2,623,3,0,7,
JackVi00,Vincent Jackson,WR,2008,25,SDG,NFL,WR,16,16,101,59,1098,18.6,7,52,54.5,60,3.7,68.6,58.4,10.9,4,69,0,3,100.0,31,17.3,4.3,0.3,63,18.5,1167,7,1,13,
JackVi00,Vincent Jackson,WR,2009,26,SDG,NFL,WR,15,15,108,68,1167,17.2,9,57,60.2,55,4.5,77.8,63.0,10.8,3,11,0,1,33.3,12,3.7,0.7,0.2,71,16.6,1178,9,0,14,PB
JackVi00,Vincent Jackson,WR,2010,27,SDG,NFL,WR,5,5,24,14,248,17.7,3,12,58.3,58,2.8,49.6,58.3,10.3,1,14,0,1,100.0,14,14.0,2.8,0.2,15,17.5,262,3,0,3,
JackVi00,Vincent Jackson,WR,2011,28,SDG,NFL,WR,16,16,115,60,1106,18.4,9,54,47.8,58,3.8,69.1,52.2,9.6,3,51,0,1,66.7,41,17.0,3.2,0.2,63,18.4,1157,9,0,12,PB
JackVi00,Vincent Jackson,WR,2012,29,TAM,NFL,WR,16,16,147,72,1384,19.2,8,61,48.3,95,4.5,86.5,49.0,9.4,0,0,0,0,,,,0.0,0.0,72,19.2,1384,8,0,13,PB
JackVi00,Vincent Jackson,WR,2013,30,TAM,NFL,WR,16,16,160,78,1224,15.7,7,60,44.4,60,4.9,76.5,48.8,7.7,1,0,0,0,0.0,,0.0,0.0,0.1,79,15.5,1224,7,1,10,
JackVi00,Vincent Jackson,WR,2014,31,TAM,NFL,WR,16,16,142,70,1002,14.3,2,50,46.5,50,4.4,62.6,49.3,7.1,0,0,0,0,,,,0.0,0.0,70,14.3,1002,2,1,7,
JackVi00,Vincent Jackson,WR,2015,32,TAM,NFL,WR,10,9,62,33,543,16.5,3,28,50.0,36,3.3,54.3,53.2,8.8,0,0,0,0,,,,0.0,0.0,33,16.5,543,3,0,5,
JackVi00,Vincent Jackson,WR,2016,33,TAM,NFL,WR,5,5,32,15,173,11.5,0,8,43.8,18,3.0,34.6,46.9,5.4,0,0,0,0,,,,0.0,0.0,15,11.5,173,0,0,1,
