player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
JohnCh04,Chris Johnson,RB,2008,23,15,RB,207,61,11,21,All 2008 Games
JohnCh04,Chris Johnson,RB,2009,24,16,RB,343,197,1,1,All 2009 Games
JohnCh04,Chris Johnson,RB,2010,25,16,RB,229,93,5,5,All 2010 Games
JohnCh04,Chris Johnson,RB,2011,26,16,RB,169,21,16,52,All 2011 Games
JohnCh04,Chris Johnson,RB,2012,27,16,RB,176,59,13,29,All 2012 Games
JohnCh04,Chris Johnson,RB,2013,28,16,RB,198,72,9,21,All 2013 Games
JohnCh04,Chris Johnson,RB,2014,29,16,RB,91,,34,,All 2014 Games
JohnCh04,Chris Johnson,RB,2015,30,11,RB,101,,36,,All 2015 Games
JohnCh04,Chris Johnson,RB,2016,31,4,RB,16,,102,,All 2016 Games
JohnCh04,Chris Johnson,RB,2017,32,4,RB,16,,100,,All 2017 Games
