player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
JohnKe00,Keyshawn Johnson,WR,1996,24,NYJ,NFL,WR,14,11,126,63,844,13.4,8,42,43.7,50,4.5,60.3,50.0,6.7,0,0,0,0,,,,0.0,0.0,63,13.4,844,8,0,6,
JohnKe00,Keyshawn Johnson,WR,1997,25,NYJ,NFL,WR,16,16,135,70,963,13.8,5,50,48.1,39,4.4,60.2,51.9,7.1,0,0,0,0,,,,0.0,0.0,70,13.8,963,5,0,9,
JohnKe00,Keyshawn Johnson,WR,1998,26,NYJ,NFL,WR,16,16,150,83,1131,13.6,10,60,50.0,41,5.2,70.7,55.3,7.5,2,60,1,2,100.0,35,30.0,3.8,0.1,85,14.0,1191,11,0,13,PB
JohnKe00,Keyshawn Johnson,WR,1999,27,NYJ,NFL,WR,16,16,147,89,1170,13.1,8,58,55.1,65,5.6,73.1,60.5,8.0,5,6,0,1,20.0,12,1.2,0.4,0.3,94,12.5,1176,8,0,12,PB
JohnKe00,Keyshawn Johnson,WR,2000,28,TAM,NFL,WR,16,16,123,71,874,12.3,8,49,52.0,38,4.4,54.6,57.7,7.1,2,5,0,0,0.0,3,2.5,0.3,0.1,73,12.0,879,8,2,11,
JohnKe00,Keyshawn Johnson,WR,2001,29,TAM,NFL,WR,15,15,180,106,1266,11.9,1,67,48.3,47,7.1,84.4,58.9,7.0,0,0,0,0,,,,0.0,0.0,106,11.9,1266,1,2,13,PB
JohnKe00,Keyshawn Johnson,WR,2002,30,TAM,NFL,WR,16,16,142,76,1088,14.3,5,53,50.7,76,4.8,68.0,53.5,7.7,0,0,0,0,,,,0.0,0.0,76,14.3,1088,5,0,9,
JohnKe00,Keyshawn Johnson,WR,2003,31,TAM,NFL,WR,10,10,74,45,600,13.3,3,34,58.1,39,4.5,60.0,60.8,8.1,0,0,0,0,,,,0.0,0.0,45,13.3,600,3,0,5,
JohnKe00,Keyshawn Johnson,WR,2004,32,DAL,NFL,WR,16,16,124,70,981,14.0,6,53,54.0,39,4.4,61.3,56.5,7.9,2,13,0,1,50.0,13,6.5,0.8,0.1,72,13.8,994,6,1,8,
JohnKe00,Keyshawn Johnson,WR,2005,33,DAL,NFL,WR,16,14,123,71,839,11.8,6,47,50.4,34,4.4,52.4,57.7,6.8,1,3,0,0,0.0,3,3.0,0.2,0.1,72,11.7,842,6,3,7,
JohnKe00,Keyshawn Johnson,WR,2006,34,CAR,NFL,WR,16,16,128,70,815,11.6,4,42,51.6,40,4.4,50.9,54.7,6.4,1,4,1,1,100.0,4,4.0,0.3,0.1,71,11.5,819,5,1,6,
