player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
KeenCa00,Case Keenum,QB,2013,25,HOU,NFL,QB,8,8,14,72,1,6,64.3,22,5.1,9.0,1.8,0,0,0,0,0,0.0,0.0,14,5.1,72,1,6,
KeenCa00,Case Keenum,QB,2014,26,HOU,NFL,QB,2,2,10,35,0,6,60.0,13,3.5,17.5,5.0,0,0,0,0,0,0.0,0.0,10,3.5,35,0,1,
KeenCa00,Case Keenum,QB,2015,27,STL,NFL,QB,6,5,12,5,0,2,16.7,4,0.4,0.8,2.0,0,0,0,0,0,0.0,0.0,12,0.4,5,0,3,
KeenCa00,Case Keenum,QB,2016,28,LAR,NFL,QB,10,9,20,51,1,8,45.0,13,2.6,5.1,2.0,0,0,0,0,0,0.0,0.0,20,2.6,51,1,5,
KeenCa00,Case Keenum,QB,2017,29,MIN,NFL,QB,15,14,40,160,1,13,42.5,22,4.0,10.7,2.7,0,0,0,0,0,0.0,0.0,40,4.0,160,1,1,AP CPoY-2
KeenCa00,Case Keenum,QB,2018,30,DEN,NFL,QB,16,16,26,93,2,11,46.2,17,3.6,5.8,1.6,0,0,0,0,0,0.0,0.0,26,3.6,93,2,11,
KeenCa00,Case Keenum,QB,2019,31,WAS,NFL,QB,10,8,9,12,1,2,33.3,9,1.3,1.2,0.9,0,0,0,0,0,0.0,0.0,9,1.3,12,1,6,
KeenCa00,Case Keenum,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeenCa00,Case Keenum,QB,2021,33,CLE,NFL,QB,7,2,12,22,0,6,50.0,10,1.8,3.1,1.7,0,0,0,0,0,0.0,0.0,12,1.8,22,0,1,
KeenCa00,Case Keenum,QB,2022,34,BUF,NFL,QB,2,0,5,0,0,0,0.0,,0.0,0.0,2.5,0,0,0,0,0,0.0,0.0,5,0.0,0,0,0,
KeenCa00,Case Keenum,QB,2023,35,HOU,NFL,QB,2,2,2,1,0,0,0.0,1,0.5,0.5,1.0,0,0,0,0,0,0.0,0.0,2,0.5,1,0,1,
