player_id,player_name,position,year,team,level,pos,voters
KellJi00,Jim Kelly,QB,1990,2nd Tm,All-Conf.,,UPI
KellJi00,Jim Kelly,QB,1990,2nd Tm,,,Newspaper Ent. Assoc.
KellJi00,Jim Kelly,QB,1991,1st Tm,All-Conf.,,Pro Football Weekly
KellJi00,Jim Kelly,QB,1991,1st Tm,All-Conf.,,UPI
KellJi00,Jim Kelly,QB,1991,1st Tm,,QB,Associated Press
KellJi00,Jim Kelly,QB,1991,1st Tm,,,Pro Football Writers
KellJi00,Jim Kelly,QB,1991,1st Tm,,,Newspaper Ent. Assoc.
KellJi00,Jim Kelly,QB,1991,1st Tm,,,Pro Football Weekly
KellJi00,Jim Kelly,QB,1991,1st Tm,,,Sporting News
KellJi00,Jim Kelly,QB,1992,2nd Tm,,QB,Associated Press
