player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
LargSt00,Steve Largent,WR,1976,22,14,WR,91,20,19,50,All 1976 Games
LargSt00,Steve Largent,WR,1977,23,14,WR,124,65,4,15,All 1977 Games
LargSt00,Steve Largent,WR,1978,24,16,WR,165,81,2,5,All 1978 Games
LargSt00,Steve Largent,WR,1979,25,15,WR,178,78,2,7,All 1979 Games
LargSt00,Steve Largent,WR,1980,26,16,WR,142,41,5,24,All 1980 Games
LargSt00,Steve Largent,WR,1981,27,16,WR,185,90,3,14,All 1981 Games
LargSt00,Steve Largent,WR,1982,28,8,WR,68,28,13,45,All 1982 Games
LargSt00,Steve Largent,WR,1983,29,15,WR,171,81,6,19,All 1983 Games
LargSt00,Steve Largent,WR,1984,30,16,WR,188,84,4,14,All 1984 Games
LargSt00,Steve Largent,WR,1985,31,16,WR,166,58,5,15,All 1985 Games
LargSt00,Steve Largent,WR,1986,32,16,WR,159,58,10,25,All 1986 Games
LargSt00,Steve Largent,WR,1987,33,13,WR,141,52,6,17,All 1987 Games
LargSt00,Steve Largent,WR,1988,34,15,WR,73,,48,,All 1988 Games
LargSt00,Steve Largent,WR,1989,35,10,WR,59,,58,,All 1989 Games
