player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
LewiFr00,Frank Lewis,WR,1971,24,9,WR,3,,75,,All 1971 Games
LewiFr00,Frank Lewis,WR,1972,25,13,WR,75,9,21,55,All 1972 Games
LewiFr00,Frank Lewis,WR,1973,26,9,WR,59,,30,,All 1973 Games
LewiFr00,Frank Lewis,WR,1974,27,12,WR,62,,28,,All 1974 Games
LewiFr00,Frank Lewis,WR,1975,28,10,WR,46,,47,,All 1975 Games
LewiFr00,Frank Lewis,WR,1976,29,12,WR,45,,45,,All 1976 Games
LewiFr00,Frank Lewis,WR,1977,30,10,WR,32,,53,,All 1977 Games
LewiFr00,Frank Lewis,WR,1978,31,15,WR,116,32,13,36,All 1978 Games
LewiFr00,Frank Lewis,WR,1979,32,15,WR,119,19,21,57,All 1979 Games
LewiFr00,Frank Lewis,WR,1980,33,15,WR,101,,30,,All 1980 Games
LewiFr00,Frank Lewis,WR,1981,34,16,WR,147,52,8,28,All 1981 Games
LewiFr00,Frank Lewis,WR,1982,35,8,WR,56,7,25,67,All 1982 Games
LewiFr00,Frank Lewis,WR,1983,36,11,WR,67,,47,,All 1983 Games
