player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
LoftJa00,James Lofton,WR,1978,22,16,WR,117,34,12,33,All 1978 Games
LoftJa00,James Lofton,WR,1979,23,16,WR,116,16,23,62,All 1979 Games
LoftJa00,James Lofton,WR,1980,24,16,WR,147,46,3,21,All 1980 Games
LoftJa00,James Lofton,WR,1981,25,16,WR,177,82,4,18,All 1981 Games
LoftJa00,James Lofton,WR,1982,26,9,WR,111,105,4,12,All 1982 Games
LoftJa00,James Lofton,WR,1983,27,16,WR,182,92,4,14,All 1983 Games
LoftJa00,James Lofton,WR,1984,28,16,WR,185,81,5,16,All 1984 Games
LoftJa00,James Lofton,WR,1985,29,16,WR,138,30,12,40,All 1985 Games
LoftJa00,James Lofton,WR,1986,30,15,WR,105,4,29,71,All 1986 Games
LoftJa00,James Lofton,WR,1987,31,12,WR,118,30,13,35,All 1987 Games
LoftJa00,James Lofton,WR,1988,32,16,WR,55,,62,,All 1988 Games
LoftJa00,James Lofton,WR,1989,33,12,WR,35,,84,,All 1989 Games
LoftJa00,James Lofton,WR,1990,34,16,WR,95,,38,,All 1990 Games
LoftJa00,James Lofton,WR,1991,35,15,WR,153,51,10,24,All 1991 Games
LoftJa00,James Lofton,WR,1992,36,16,WR,115,24,16,43,All 1992 Games
LoftJa00,James Lofton,WR,1993,37,10,WR,18,,97,,All 1993 Games
