player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
MannAr00,Archie Manning,QB,1971,22,NOR,NFL,QB,12,10,3-5-2,86,177,48.6,1164,6,3.4,9,5.1,,,63,6.6,4.97,13.5,97.0,60.1,40,332,18.43,3.83,2.52,2,1,7,
MannAr00,Archie Manning,QB,1972,23,NOR,NFL,QB,14,14,2-11-1,230,448,51.3,2781,18,4.0,21,4.7,,,66,6.2,4.90,12.1,198.6,64.6,43,347,8.76,4.96,3.77,1,1,11,
MannAr00,Archie Manning,QB,1973,24,NOR,NFL,QB,13,13,5-8-0,140,267,52.4,1642,10,3.7,12,4.5,,,65,6.1,4.88,11.7,126.3,65.2,28,177,9.49,4.97,3.81,1,1,7,
MannAr00,Archie Manning,QB,1974,25,NOR,NFL,QB,11,11,3-8-0,134,261,51.3,1429,6,2.3,16,6.1,,,79,5.5,3.18,10.7,129.9,49.8,26,172,9.06,4.38,2.29,2,2,4,
MannAr00,Archie Manning,QB,1975,26,NOR,NFL,QB,13,13,2-11-0,159,338,47.0,1683,7,2.1,20,5.9,,,71,5.0,2.73,10.6,129.5,44.3,49,390,12.66,3.34,1.38,1,1,3,
MannAr00,Archie Manning,QB,1976,,Did not play - Injured (shoulder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MannAr00,Archie Manning,QB,1977,28,NOR,NFL,QB,10,9,1-8-0,113,205,55.1,1284,8,3.9,9,4.4,,,59,6.3,5.07,11.4,128.4,68.8,36,288,14.94,4.13,3.12,1,1,9,
MannAr00,Archie Manning,QB,1978,29,NOR,NFL,QB,16,16,7-9-0,291,471,61.8,3416,17,3.6,16,3.4,154,44.3,71,7.3,6.45,11.7,213.5,81.7,37,301,7.28,6.13,5.38,2,4,14,PB
MannAr00,Archie Manning,QB,1979,30,NOR,NFL,QB,16,16,8-8-0,252,420,60.0,3169,15,3.6,20,4.8,132,43.9,85,7.5,6.12,12.6,198.1,75.6,17,140,3.89,6.93,5.56,0,0,16,PB
MannAr00,Archie Manning,QB,1980,31,NOR,NFL,QB,16,16,1-15-0,309,509,60.7,3716,23,4.5,20,3.9,170,43.5,56,7.3,6.44,12.0,232.3,81.8,41,311,7.45,6.19,5.39,1,1,11,
MannAr00,Archie Manning,QB,1981,32,NOR,NFL,QB,12,11,3-8-0,134,232,57.8,1447,5,2.2,11,4.7,63,36.8,55,6.2,4.53,10.8,120.6,63.6,21,164,8.30,5.07,3.51,0,0,3,
MannAr00,Archie Manning,QB,1982,33,2TM,NFL,QB,7,5,0-5-0,67,132,50.8,880,6,4.5,8,6.1,39,31.1,54,6.7,4.85,13.1,125.7,62.1,29,234,18.01,4.01,2.52,0,0,5,
MannAr00,Archie Manning,QB,1982,33,NOR,NFL,QB,1,0,,1,7,14.3,3,0,0.0,2,28.6,0,,3,0.4,-12.43,3.0,3.0,0.0,2,18,22.22,-1.67,-11.67,0,0,0,
MannAr00,Archie Manning,QB,1982,33,HOU,NFL,QB,6,5,0-5-0,66,125,52.8,877,6,4.8,6,4.8,39,32.9,54,7.0,5.82,13.3,146.2,71.3,27,216,17.76,4.35,3.36,0,0,5,
MannAr00,Archie Manning,QB,1983,34,2TM,NFL,QB,5,3,0-3-0,44,88,50.0,755,2,2.3,8,9.1,33,38.4,47,8.6,4.94,17.2,151.0,49.2,11,83,11.11,6.79,3.56,0,0,2,
MannAr00,Archie Manning,QB,1983,34,HOU,NFL,QB,3,3,0-3-0,44,88,50.0,755,2,2.3,8,9.1,33,38.4,47,8.6,4.94,17.2,251.7,49.2,11,83,11.11,6.79,3.56,0,0,2,
MannAr00,Archie Manning,QB,1983,34,MIN,NFL,QB,2,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0,0,,,,0,0,0,
MannAr00,Archie Manning,QB,1984,35,MIN,NFL,QB,6,2,0-2-0,52,94,55.3,545,2,2.1,3,3.2,25,36.6,56,5.8,4.79,10.5,90.8,66.1,18,153,16.07,3.50,2.65,0,0,2,
