player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
MannPe00,Peyton Manning,QB,1998,22,16,QB,208,12,9,56,All 1998 Games
MannPe00,Peyton Manning,QB,1999,23,16,QB,255,66,4,21,All 1999 Games
MannPe00,Peyton Manning,QB,2000,24,16,QB,294,102,4,12,All 2000 Games
MannPe00,Peyton Manning,QB,2001,25,16,QB,261,59,5,19,All 2001 Games
MannPe00,Peyton Manning,QB,2002,26,16,QB,265,43,4,34,All 2002 Games
MannPe00,Peyton Manning,QB,2003,27,16,QB,267,52,2,31,All 2003 Games
MannPe00,Peyton Manning,QB,2004,28,16,QB,360,141,2,3,All 2004 Games
MannPe00,Peyton Manning,QB,2005,29,16,QB,246,50,3,25,All 2005 Games
MannPe00,Peyton Manning,QB,2006,30,16,QB,311,127,1,4,All 2006 Games
MannPe00,Peyton Manning,QB,2007,31,16,QB,275,71,3,17,All 2007 Games
MannPe00,Peyton Manning,QB,2008,32,16,QB,254,50,6,26,All 2008 Games
MannPe00,Peyton Manning,QB,2009,33,16,QB,279,51,5,28,All 2009 Games
MannPe00,Peyton Manning,QB,2010,34,16,QB,286,57,4,24,All 2010 Games
MannPe00,Peyton Manning,QB,2012,36,16,QB,311,60,6,27,All 2012 Games
MannPe00,Peyton Manning,QB,2013,37,16,QB,410,151,1,3,All 2013 Games
MannPe00,Peyton Manning,QB,2014,38,16,QB,313,47,4,32,All 2014 Games
MannPe00,Peyton Manning,QB,2015,39,10,QB,91,,34,,All 2015 Games
