player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
MariDa00,Dan Marino,QB,1983,22,MIA,NFL,QB,1,1,0-1-0,15,25,60.0,193,2,8.0,2,8.0,11,60.0,32,7.7,5.72,12.9,193.0,77.6,0,0,0.00,7.72,5.72,0,0,
MariDa00,Dan Marino,QB,1984,23,MIA,NFL,QB,3,3,2-1-0,71,116,61.2,1001,8,6.9,5,4.3,46,53.3,41,8.6,8.07,14.1,333.7,94.1,4,29,3.33,8.10,7.56,0,0,
MariDa00,Dan Marino,QB,1985,24,MIA,NFL,QB,2,2,1-1-0,45,93,48.4,486,3,3.2,3,3.2,28,43.6,39,5.2,4.42,10.8,243.0,61.5,1,14,1.06,5.02,4.22,1,1,
MariDa00,Dan Marino,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MariDa00,Dan Marino,QB,1990,29,MIA,NFL,QB,2,2,1-1-0,42,79,53.2,544,5,6.3,2,2.5,27,50.6,64,6.9,7.01,13.0,272.0,85.6,2,8,2.47,6.62,6.74,1,1,
MariDa00,Dan Marino,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MariDa00,Dan Marino,QB,1992,31,MIA,NFL,QB,2,2,1-1-0,39,74,52.7,435,4,5.4,2,2.7,23,39.7,30,5.9,5.74,11.2,217.5,77.3,4,25,5.13,5.26,5.13,0,0,
MariDa00,Dan Marino,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MariDa00,Dan Marino,QB,1994,33,MIA,NFL,QB,2,2,1-1-0,46,67,68.7,519,5,7.5,0,0.0,25,56.5,31,7.7,9.24,11.3,259.5,116.4,2,13,2.90,7.33,8.78,0,0,
MariDa00,Dan Marino,QB,1995,34,MIA,NFL,QB,1,1,0-1-0,33,64,51.6,422,2,3.1,3,4.7,19,42.2,45,6.6,5.11,12.8,422.0,63.4,0,0,0.00,6.59,5.11,0,0,
MariDa00,Dan Marino,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MariDa00,Dan Marino,QB,1997,36,MIA,NFL,QB,1,1,0-1-0,17,43,39.5,141,0,0.0,2,4.7,6,21.3,42,3.3,1.19,8.3,141.0,29.3,4,21,8.51,2.55,0.64,0,0,
MariDa00,Dan Marino,QB,1998,37,MIA,NFL,QB,2,2,1-1-0,49,71,69.0,478,1,1.4,3,4.2,21,43.8,56,6.7,5.11,9.8,239.0,74.7,2,12,2.74,6.38,4.81,0,1,
MariDa00,Dan Marino,QB,1999,38,MIA,NFL,QB,2,2,1-1-0,28,55,50.9,291,2,3.6,2,3.6,14,32.8,27,5.3,4.38,10.4,145.5,63.5,3,19,5.17,4.69,3.83,1,1,
