player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
MarsHe00,Henry Marshall,WR,1976,22,14,WR,71,,31,,All 1976 Games
MarsHe00,Henry Marshall,WR,1977,23,14,WR,68,,30,,All 1977 Games
MarsHe00,Henry Marshall,WR,1978,24,16,WR,55,,52,,All 1978 Games
MarsHe00,Henry Marshall,WR,1979,25,16,WR,49,,52,,All 1979 Games
MarsHe00,Henry Marshall,WR,1980,26,16,WR,118,17,24,58,All 1980 Games
MarsHe00,Henry Marshall,WR,1981,27,12,WR,89,,32,,All 1981 Games
MarsHe00,Henry Marshall,WR,1982,28,9,WR,75,41,10,36,All 1982 Games
MarsHe00,Henry Marshall,WR,1983,29,13,WR,115,25,18,48,All 1983 Games
MarsHe00,Henry Marshall,WR,1984,30,16,WR,113,9,22,63,All 1984 Games
MarsHe00,Henry Marshall,WR,1985,31,11,WR,44,,67,,All 1985 Games
MarsHe00,Henry Marshall,WR,1986,32,16,WR,71,,51,,All 1986 Games
MarsHe00,Henry Marshall,WR,1987,33,12,WR,13,,142,,All 1987 Games
