player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
MartTo00,Tony Martin,WR,1990,25,16,WR,48,,72,,All 1990 Games
MartTo00,Tony Martin,WR,1991,26,16,WR,53,,68,,All 1991 Games
MartTo00,Tony Martin,WR,1992,27,16,WR,65,,58,,All 1992 Games
MartTo00,Tony Martin,WR,1993,28,12,WR,52,,64,,All 1993 Games
MartTo00,Tony Martin,WR,1994,29,16,WR,126,15,23,60,All 1994 Games
MartTo00,Tony Martin,WR,1995,30,16,WR,152,35,18,43,All 1995 Games
MartTo00,Tony Martin,WR,1996,31,16,WR,201,86,2,16,All 1996 Games
MartTo00,Tony Martin,WR,1997,32,16,WR,126,13,22,62,All 1997 Games
MartTo00,Tony Martin,WR,1998,33,16,WR,154,30,15,40,All 1998 Games
MartTo00,Tony Martin,WR,1999,34,16,WR,133,9,27,64,All 1999 Games
MartTo00,Tony Martin,WR,2000,35,10,WR,39,,79,,All 2000 Games
MartTo00,Tony Martin,WR,2001,36,11,WR,73,,51,,All 2001 Games
