player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
McCaEd00,Ed McCaffrey,WR,1991,23,NYG,NFL,WR,16,0,24,16,146,9.1,0,10,54.2,26,1.0,9.1,66.7,6.1,0,0,0,0,,,,0.0,0.0,16,9.1,146,0,0,2,
McCaEd00,Ed McCaffrey,WR,1992,24,NYG,NFL,WR,16,3,75,49,610,12.4,5,27,49.3,44,3.1,38.1,65.3,8.1,0,0,0,0,,,,0.0,0.0,49,12.4,610,5,2,7,
McCaEd00,Ed McCaffrey,WR,1993,25,NYG,NFL,WR,16,1,46,27,335,12.4,2,20,47.8,31,1.7,20.9,58.7,7.3,0,0,0,0,,,,0.0,0.0,27,12.4,335,2,0,3,
McCaEd00,Ed McCaffrey,WR,1994,26,SFO,NFL,WR,16,0,14,11,131,11.9,2,9,71.4,32,0.7,8.2,78.6,9.4,0,0,0,0,,,,0.0,0.0,11,11.9,131,2,0,2,
McCaEd00,Ed McCaffrey,WR,1995,27,DEN,NFL,WR,16,5,63,39,477,12.2,2,25,47.6,35,2.4,29.8,61.9,7.6,1,-1,0,0,0.0,-1,-1.0,-0.1,0.1,40,11.9,476,2,1,5,
McCaEd00,Ed McCaffrey,WR,1996,28,DEN,NFL,WR,15,15,76,48,553,11.5,7,32,56.6,39,3.2,36.9,63.2,7.3,0,0,0,0,,,,0.0,0.0,48,11.5,553,7,0,6,
McCaEd00,Ed McCaffrey,WR,1997,29,DEN,NFL,WR,15,15,85,45,590,13.1,8,32,49.4,35,3.0,39.3,52.9,6.9,0,0,0,0,,,,0.0,0.0,45,13.1,590,8,0,7,
McCaEd00,Ed McCaffrey,WR,1998,30,DEN,NFL,WR,15,15,99,64,1053,16.5,10,41,57.6,48,4.3,70.2,64.6,10.6,0,0,0,0,,,,0.0,0.0,64,16.5,1053,10,1,14,"PB,AP-2"
McCaEd00,Ed McCaffrey,WR,1999,31,DEN,NFL,WR,15,15,127,71,1018,14.3,7,45,44.1,78,4.7,67.9,55.9,8.0,0,0,0,0,,,,0.0,0.0,71,14.3,1018,7,0,9,
McCaEd00,Ed McCaffrey,WR,2000,32,DEN,NFL,WR,16,16,149,101,1317,13.0,9,69,59.1,61,6.3,82.3,67.8,8.8,0,0,0,0,,,,0.0,0.0,101,13.0,1317,9,0,14,
McCaEd00,Ed McCaffrey,WR,2001,33,DEN,NFL,WR,1,1,7,6,94,15.7,1,3,71.4,28,6.0,94.0,85.7,13.4,0,0,0,0,,,,0.0,0.0,6,15.7,94,1,0,1,
McCaEd00,Ed McCaffrey,WR,2002,34,DEN,NFL,WR,16,16,105,69,903,13.1,2,44,56.2,69,4.3,56.4,65.7,8.6,2,22,0,0,100.0,17,11.0,1.4,0.1,71,13.0,925,2,1,9,
McCaEd00,Ed McCaffrey,WR,2003,35,DEN,NFL,WR,12,7,34,19,195,10.3,0,13,41.2,23,1.6,16.3,55.9,5.7,0,0,0,0,,,,0.0,0.0,19,10.3,195,0,0,2,
