player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
McCaKe00,Keenan McCardell,WR,1992,22,2,WR,1,,150,,All 1992 Games
McCaKe00,Keenan McCardell,WR,1993,23,6,WR,47,,70,,All 1993 Games
McCaKe00,Keenan McCardell,WR,1994,24,13,WR,18,,95,,All 1994 Games
McCaKe00,Keenan McCardell,WR,1995,25,16,WR,95,,39,,All 1995 Games
McCaKe00,Keenan McCardell,WR,1996,26,16,WR,133,18,23,52,All 1996 Games
McCaKe00,Keenan McCardell,WR,1997,27,16,WR,146,33,17,46,All 1997 Games
McCaKe00,Keenan McCardell,WR,1998,28,15,WR,127,3,25,70,All 1998 Games
McCaKe00,Keenan McCardell,WR,1999,29,16,WR,121,,32,,All 1999 Games
McCaKe00,Keenan McCardell,WR,2000,30,16,WR,145,34,17,46,All 2000 Games
McCaKe00,Keenan McCardell,WR,2001,31,16,WR,147,18,18,51,All 2001 Games
McCaKe00,Keenan McCardell,WR,2002,32,14,WR,101,,46,,All 2002 Games
McCaKe00,Keenan McCardell,WR,2003,33,16,WR,169,65,9,21,All 2003 Games
McCaKe00,Keenan McCardell,WR,2004,34,7,WR,46,,85,,All 2004 Games
McCaKe00,Keenan McCardell,WR,2005,35,16,WR,146,30,16,43,All 2005 Games
McCaKe00,Keenan McCardell,WR,2006,36,14,WR,41,,93,,All 2006 Games
McCaKe00,Keenan McCardell,WR,2007,37,10,WR,32,,99,,All 2007 Games
