player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
MeggDa00,Dave Meggett,RB,1989,23,16,RB,87,,38,,All 1989 Games
MeggDa00,Dave Meggett,RB,1990,24,16,RB,66,,50,,All 1990 Games
MeggDa00,Dave Meggett,RB,1991,25,16,RB,79,,42,,All 1991 Games
MeggDa00,Dave Meggett,RB,1992,26,16,RB,53,,60,,All 1992 Games
MeggDa00,Dave Meggett,RB,1993,27,16,RB,80,,43,,All 1993 Games
MeggDa00,Dave Meggett,RB,1994,28,16,RB,100,,34,,All 1994 Games
MeggDa00,Dave Meggett,RB,1995,29,16,RB,74,,46,,All 1995 Games
MeggDa00,Dave Meggett,RB,1996,30,16,RB,47,,65,,All 1996 Games
MeggDa00,Dave Meggett,RB,1997,31,16,RB,44,,68,,All 1997 Games
MeggDa00,Dave Meggett,RB,1998,32,2,RB,4,,129,,All 1998 Games
