player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
MichCh00,Christine Michael,RB,2013,23,SEA,NFL,RB,4,0,18,79,0,5,61.1,13,4.4,19.8,4.5,0,0,0,,0,0,,,0.0,0.0,,,18,4.4,79,0,0,1,
MichCh00,Christine Michael,RB,2014,24,SEA,NFL,RB,10,0,34,175,0,11,50.0,45,5.1,17.5,3.4,2,1,12,12.0,0,0,50.0,12,0.1,1.2,50.0,6.0,35,5.3,187,0,1,1,
MichCh00,Christine Michael,RB,2015,25,2TM,NFL,RB,8,2,54,243,0,14,48.1,45,4.5,30.4,6.8,6,3,16,5.3,0,1,16.7,11,0.4,2.0,50.0,2.7,57,4.5,259,0,0,2,
MichCh00,Christine Michael,RB,2015,25,DAL,NFL,RB,5,0,15,51,0,4,40.0,13,3.4,10.2,3.0,3,1,2,2.0,0,0,0.0,2,0.2,0.4,33.3,0.7,16,3.3,53,0,0,0,
MichCh00,Christine Michael,RB,2015,25,SEA,NFL,RB,3,2,39,192,0,10,51.3,45,4.9,64.0,13.0,3,2,14,7.0,0,1,33.3,11,0.7,4.7,66.7,4.7,41,5.0,206,0,0,2,
MichCh00,Christine Michael,RB,2016,26,2TM,NFL,RB,15,7,148,583,7,34,48.0,42,3.9,38.9,9.9,29,22,107,4.9,1,4,44.8,13,1.5,7.1,75.9,3.7,170,4.1,690,8,2,5,
MichCh00,Christine Michael,RB,2016,26,SEA,NFL,RB,9,7,117,469,6,27,48.7,41,4.0,52.1,13.0,26,20,96,4.8,1,3,46.2,13,2.2,10.7,76.9,3.7,137,4.1,565,7,2,4,
MichCh00,Christine Michael,RB,2016,26,GNB,NFL,RB,6,0,31,114,1,7,45.2,42,3.7,19.0,5.2,3,2,11,5.5,0,1,33.3,10,0.3,1.8,66.7,3.7,33,3.8,125,1,0,1,
MichCh00,Christine Michael,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MichCh00,Christine Michael,RB,2018,28,IND,NFL,RB,1,0,2,9,0,0,50.0,8,4.5,9.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,4.5,9,0,0,0,
