player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
MillAn00,Anthony Miller,WR,1988,23,16,WR,80,,42,,All 1988 Games
MillAn00,Anthony Miller,WR,1989,24,16,WR,192,88,4,11,All 1989 Games
MillAn00,Anthony Miller,WR,1990,25,16,WR,135,26,12,42,All 1990 Games
MillAn00,Anthony Miller,WR,1991,26,13,WR,82,,42,,All 1991 Games
MillAn00,Anthony Miller,WR,1992,27,16,WR,154,63,5,20,All 1992 Games
MillAn00,Anthony Miller,WR,1993,28,16,WR,158,53,7,20,All 1993 Games
MillAn00,Anthony Miller,WR,1994,29,16,WR,143,32,13,37,All 1994 Games
MillAn00,Anthony Miller,WR,1995,30,14,WR,190,73,10,21,All 1995 Games
MillAn00,Anthony Miller,WR,1996,31,16,WR,101,,41,,All 1996 Games
MillAn00,Anthony Miller,WR,1997,32,16,WR,87,,47,,All 1997 Games
