player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
MillCh00,Chris Miller,QB,1987,22,ATL,NFL,QB,3,2,0-2-0,39,92,42.4,552,1,1.1,9,9.8,26,33.0,57,6.0,1.82,14.2,184.0,26.4,5,37,5.15,5.31,1.34,0,0,1,
MillCh00,Chris Miller,QB,1988,23,ATL,NFL,QB,13,13,5-8-0,184,351,52.4,2133,11,3.1,12,3.4,102,40.8,68,6.1,5.17,11.6,164.1,67.3,24,207,6.40,5.14,4.28,1,3,6,
MillCh00,Chris Miller,QB,1989,24,ATL,NFL,QB,15,15,3-12-0,280,526,53.2,3459,16,3.0,10,1.9,153,39.7,72,6.6,6.33,12.4,230.6,76.1,41,318,7.23,5.54,5.31,3,3,10,
MillCh00,Chris Miller,QB,1990,25,ATL,NFL,QB,12,12,3-9-0,222,388,57.2,2735,17,4.4,14,3.6,119,42.8,75,7.0,6.30,12.3,227.9,78.7,26,167,6.28,6.20,5.50,1,1,9,
MillCh00,Chris Miller,QB,1991,26,ATL,NFL,QB,15,14,9-5-0,220,413,53.3,3103,26,6.3,18,4.4,141,43.1,80,7.5,6.81,14.1,206.9,80.6,23,145,5.28,6.78,6.12,3,4,11,PB
MillCh00,Chris Miller,QB,1992,27,ATL,NFL,QB,8,8,3-5-0,152,253,60.1,1739,15,5.9,6,2.4,80,45.4,89,6.9,6.99,11.4,217.4,90.7,16,103,5.95,6.08,6.19,0,0,8,
MillCh00,Chris Miller,QB,1993,28,ATL,NFL,QB,3,2,0-2-0,32,66,48.5,345,1,1.5,3,4.5,15,31.1,32,5.2,3.48,10.8,115.0,50.4,8,62,10.81,3.82,2.27,0,0,1,
MillCh00,Chris Miller,QB,1994,29,RAM,NFL,QB,13,10,2-8-0,173,317,54.6,2104,16,5.0,14,4.4,99,40.6,54,6.6,5.66,12.2,161.8,73.6,28,193,8.12,5.54,4.64,0,0,6,
MillCh00,Chris Miller,QB,1995,30,STL,NFL,QB,13,13,7-6-0,232,405,57.3,2623,18,4.4,15,3.7,129,39.7,72,6.5,5.70,11.3,201.8,76.2,31,244,7.11,5.46,4.73,0,0,6,
MillCh00,Chris Miller,QB,1996,,Did not play - Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MillCh00,Chris Miller,QB,1999,34,DEN,NFL,QB,3,3,2-1-0,46,81,56.8,527,2,2.5,1,1.2,23,43.2,42,6.5,6.44,11.5,175.7,79.6,7,51,7.95,5.41,5.35,0,0,2,
