player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
MillCh00,Chris Miller,QB,1987,22,ATL,NFL,QB,3,2,4,21,0,1,25.0,11,5.3,7.0,1.3,0,0,0,0,0,0.0,0.0,4,5.3,21,0,0,
MillCh00,Chris Miller,QB,1988,23,ATL,NFL,QB,13,13,31,138,1,7,38.7,29,4.5,10.6,2.4,0,0,0,0,0,0.0,0.0,31,4.5,138,1,2,
MillCh00,Chris Miller,QB,1989,24,ATL,NFL,QB,15,15,10,20,0,1,10.0,7,2.0,1.3,0.7,0,0,0,0,0,0.0,0.0,10,2.0,20,0,13,
MillCh00,Chris Miller,QB,1990,25,ATL,NFL,QB,12,12,26,99,1,5,34.6,18,3.8,8.3,2.2,0,0,0,0,0,0.0,0.0,26,3.8,99,1,11,
MillCh00,Chris Miller,QB,1991,26,ATL,NFL,QB,15,14,32,229,0,12,59.4,20,7.2,15.3,2.1,0,0,0,0,0,0.0,0.0,32,7.2,229,0,5,PB
MillCh00,Chris Miller,QB,1992,27,ATL,NFL,QB,8,8,23,89,0,4,39.1,16,3.9,11.1,2.9,0,0,0,0,0,0.0,0.0,23,3.9,89,0,6,
MillCh00,Chris Miller,QB,1993,28,ATL,NFL,QB,3,2,2,11,0,0,100.0,6,5.5,3.7,0.7,0,0,0,0,0,0.0,0.0,2,5.5,11,0,2,
MillCh00,Chris Miller,QB,1994,29,RAM,NFL,QB,13,10,20,100,0,6,40.0,16,5.0,7.7,1.5,0,0,0,0,0,0.0,0.0,20,5.0,100,0,7,
MillCh00,Chris Miller,QB,1995,30,STL,NFL,QB,13,13,22,67,0,1,22.7,13,3.0,5.2,1.7,0,0,0,0,0,0.0,0.0,22,3.0,67,0,4,
MillCh00,Chris Miller,QB,1996,,Did not play - Retired,,,,,,,,,,,,,,,,,,,,,,,,,,
MillCh00,Chris Miller,QB,1999,34,DEN,NFL,QB,3,3,8,40,0,3,50.0,13,5.0,13.3,2.7,0,0,0,0,0,0.0,0.0,8,5.0,40,0,2,
