player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
MontJo01,Joe Montana,QB,1981,25,SFO,NFL,QB,3,3,3-0-0,56,88,63.6,747,6,6.8,4,4.5,39,53.7,58,8.5,7.81,13.3,249.0,94.3,7,45,7.37,7.39,6.76,1,1,SB MVP
MontJo01,Joe Montana,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MontJo01,Joe Montana,QB,1983,27,SFO,NFL,QB,2,2,1-1-0,45,79,57.0,548,4,5.1,2,2.5,26,44.4,76,6.9,6.81,12.2,274.0,84.8,2,13,2.47,6.60,6.48,1,1,
MontJo01,Joe Montana,QB,1984,28,SFO,NFL,QB,3,3,3-0-0,67,108,62.0,873,7,6.5,5,4.6,45,51.7,40,8.1,7.30,13.0,291.0,89.8,8,41,6.90,7.17,6.44,0,0,SB MVP
MontJo01,Joe Montana,QB,1985,29,SFO,NFL,QB,1,1,0-1-0,26,47,55.3,296,0,0.0,1,2.1,11,35.3,36,6.3,5.34,11.4,296.0,65.6,4,28,7.84,5.25,4.37,0,0,
MontJo01,Joe Montana,QB,1986,30,SFO,NFL,QB,1,1,0-1-0,8,15,53.3,98,0,0.0,2,13.3,3,40.0,24,6.5,0.53,12.3,98.0,34.2,0,0,0.00,6.53,0.53,0,0,
MontJo01,Joe Montana,QB,1987,31,SFO,NFL,QB,1,1,0-1-0,12,26,46.2,109,0,0.0,1,3.8,4,16.7,33,4.2,2.46,9.1,109.0,42.0,4,24,13.33,2.83,1.33,0,0,
MontJo01,Joe Montana,QB,1988,32,SFO,NFL,QB,3,3,3-0-0,56,90,62.2,823,8,8.9,1,1.1,39,51.0,61,9.1,10.42,14.7,274.3,117.0,6,40,6.25,8.16,9.35,1,1,
MontJo01,Joe Montana,QB,1989,33,SFO,NFL,QB,3,3,3-0-0,65,83,78.3,800,11,13.3,0,0.0,40,69.0,72,9.6,12.29,12.3,266.7,146.4,1,0,1.19,9.52,12.14,0,0,SB MVP
MontJo01,Joe Montana,QB,1990,34,SFO,NFL,QB,2,2,1-1-0,40,57,70.2,464,3,5.3,1,1.8,25,45.2,61,8.1,8.40,11.6,232.0,104.7,5,24,8.06,7.10,7.34,0,0,
MontJo01,Joe Montana,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MontJo01,Joe Montana,QB,1993,37,KAN,NFL,QB,3,3,2-1-0,59,104,56.7,700,4,3.8,3,2.9,39,48.2,41,6.7,6.20,11.9,233.3,78.2,8,56,7.14,5.75,5.26,2,2,
MontJo01,Joe Montana,QB,1994,38,KAN,NFL,QB,1,1,0-1-0,26,37,70.3,314,2,5.4,1,2.7,17,59.5,57,8.5,8.35,12.1,314.0,102.8,0,0,0.00,8.49,8.35,0,0,
