player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
NovaJa00,Jay Novacek,TE,1985,23,STL,NFL,TE,16,0,1,1,4,4.0,0,0,0.0,4,0.1,0.3,100.0,4.0,0,0,0,0,,,,0.0,0.0,1,4.0,4,0,0,0,
NovaJa00,Jay Novacek,TE,1986,24,STL,NFL,TE,8,0,2,1,2,2.0,0,0,0.0,2,0.1,0.3,50.0,1.0,0,0,0,0,,,,0.0,0.0,1,2.0,2,0,0,0,
NovaJa00,Jay Novacek,TE,1987,25,STL,NFL,TE,7,4,34,20,254,12.7,3,14,50.0,25,2.9,36.3,58.8,7.5,0,0,0,0,,,,0.0,0.0,20,12.7,254,3,1,3,
NovaJa00,Jay Novacek,TE,1988,26,PHO,NFL,TE,16,1,70,38,569,15.0,4,24,45.7,42,2.4,35.6,54.3,8.1,1,10,0,1,100.0,10,10.0,0.6,0.1,39,14.8,579,4,0,5,
NovaJa00,Jay Novacek,TE,1989,27,PHO,NFL,TE,16,1,55,23,225,9.8,1,9,23.6,30,1.4,14.1,41.8,4.1,0,0,0,0,,,,0.0,0.0,23,9.8,225,1,0,2,
NovaJa00,Jay Novacek,TE,1990,28,DAL,NFL,TE,16,15,102,59,657,11.1,4,31,45.1,41,3.7,41.1,57.8,6.4,0,0,0,0,,,,0.0,0.0,59,11.1,657,4,1,6,
NovaJa00,Jay Novacek,TE,1991,29,DAL,NFL,TE,16,12,92,59,664,11.3,4,37,52.2,49,3.7,41.5,64.1,7.2,0,0,0,0,,,,0.0,0.0,59,11.3,664,4,3,8,"PB,AP-2"
NovaJa00,Jay Novacek,TE,1992,30,DAL,NFL,TE,16,16,99,68,630,9.3,6,37,50.5,34,4.3,39.4,68.7,6.4,0,0,0,0,,,,0.0,0.0,68,9.3,630,6,0,8,"PB,AP-1"
NovaJa00,Jay Novacek,TE,1993,31,DAL,NFL,TE,16,16,69,44,445,10.1,1,25,47.8,30,2.8,27.8,63.8,6.4,1,2,1,1,100.0,2,2.0,0.1,0.1,45,9.9,447,2,3,6,PB
NovaJa00,Jay Novacek,TE,1994,32,DAL,NFL,TE,16,14,68,47,475,10.1,2,33,61.8,27,2.9,29.7,69.1,7.0,0,0,0,0,,,,0.0,0.0,47,10.1,475,2,0,6,PB
NovaJa00,Jay Novacek,TE,1995,33,DAL,NFL,TE,15,15,90,62,705,11.4,5,40,62.2,33,4.1,47.0,68.9,7.8,0,0,0,0,,,,0.0,0.0,62,11.4,705,5,1,8,PB
