player_id,player_name,position,year,team,level,pos,voters
OwenTe00,Terrell Owens,WR,2000,1st Tm,All-Conf.,,Pro Football Writers
OwenTe00,Terrell Owens,WR,2000,1st Tm,,WR,Associated Press
OwenTe00,Terrell Owens,WR,2001,1st Tm,All-Conf.,,Pro Football Writers
OwenTe00,Terrell Owens,WR,2001,1st Tm,,WR,Associated Press
OwenTe00,Terrell Owens,WR,2001,1st Tm,,,Pro Football Writers
OwenTe00,Terrell Owens,WR,2001,1st Tm,,,Sporting News
OwenTe00,Terrell Owens,WR,2002,1st Tm,All-Conf.,,Pro Football Writers
OwenTe00,Terrell Owens,WR,2002,1st Tm,,WR,Associated Press
OwenTe00,Terrell Owens,WR,2002,1st Tm,,,Pro Football Writers
OwenTe00,Terrell Owens,WR,2002,1st Tm,,,Sporting News
OwenTe00,Terrell Owens,WR,2004,1st Tm,All-Conf.,,Pro Football Writers
OwenTe00,Terrell Owens,WR,2004,1st Tm,,WR,Associated Press
OwenTe00,Terrell Owens,WR,2004,1st Tm,,,Pro Football Writers
OwenTe00,Terrell Owens,WR,2004,1st Tm,,,Sporting News
OwenTe00,Terrell Owens,WR,2007,1st Tm,All-Conf.,WR,Pro Football Writers
OwenTe00,Terrell Owens,WR,2007,1st Tm,,WR,Associated Press
OwenTe00,Terrell Owens,WR,2007,1st Tm,,,Pro Football Writers
