player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
PageMi00,Mike Pagel,QB,1982,22,BAL,NFL,QB,9,9,0-8-1,111,221,50.2,1281,5,2.3,7,3.2,62,36.7,53,5.8,4.82,11.5,142.3,62.4,16,129,6.75,4.86,3.95,1,0,6,
PageMi00,Mike Pagel,QB,1983,23,BAL,NFL,QB,15,15,7-8-0,163,328,49.7,2353,12,3.7,17,5.2,99,37.0,72,7.2,5.57,14.4,156.9,64.0,40,278,10.87,5.64,4.21,3,4,8,
PageMi00,Mike Pagel,QB,1984,24,IND,NFL,QB,11,9,3-6-0,114,212,53.8,1426,8,3.8,8,3.8,73,42.5,54,6.7,5.78,12.5,129.6,71.8,28,201,11.67,5.10,4.27,1,2,5,
PageMi00,Mike Pagel,QB,1985,25,IND,NFL,QB,16,14,5-9-0,199,393,50.6,2414,14,3.6,15,3.8,110,39.7,80,6.1,5.14,12.1,150.9,65.8,25,180,5.98,5.34,4.40,1,1,9,
PageMi00,Mike Pagel,QB,1986,26,CLE,NFL,QB,1,0,,2,3,66.7,53,0,0.0,0,0.0,1,33.3,45,17.7,17.67,26.5,53.0,109.7,0,0,0.00,17.67,17.67,0,0,0,
PageMi00,Mike Pagel,QB,1987,27,CLE,NFL,QB,4,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0,0,,,,0,0,0,
PageMi00,Mike Pagel,QB,1988,28,CLE,NFL,QB,5,4,2-2-0,71,134,53.0,736,3,2.2,4,3.0,36,43.0,28,5.5,4.60,10.4,147.2,64.1,1,9,0.74,5.39,4.50,0,0,2,
PageMi00,Mike Pagel,QB,1989,29,CLE,NFL,QB,16,0,,5,14,35.7,60,1,7.1,1,7.1,3,35.7,18,4.3,2.50,12.0,3.8,43.7,0,0,0.00,4.29,2.50,0,1,0,
PageMi00,Mike Pagel,QB,1990,30,CLE,NFL,QB,16,3,0-3-0,69,148,46.6,819,3,2.0,8,5.4,39,35.3,32,5.5,3.51,11.9,51.2,48.2,5,40,3.27,5.09,3.13,0,0,2,
PageMi00,Mike Pagel,QB,1991,31,RAM,NFL,QB,16,0,,11,27,40.7,150,2,7.4,0,0.0,7,40.7,30,5.6,7.04,13.6,9.4,83.9,0,0,0.00,5.56,7.04,0,0,0,
PageMi00,Mike Pagel,QB,1992,32,RAM,NFL,QB,16,0,,8,20,40.0,99,1,5.0,2,10.0,6,35.0,22,5.0,1.45,12.4,6.2,33.1,0,0,0.00,4.95,1.45,0,0,0,
PageMi00,Mike Pagel,QB,1993,33,RAM,NFL,QB,7,0,,3,9,33.3,23,0,0.0,1,11.1,1,33.3,10,2.6,-2.44,7.7,3.3,2.8,0,0,0.00,2.56,-2.44,0,0,0,
